"OBJECTID","SPDES_PERM","WCS_CLASS","DISTRICT_N","RECEIVING_","DETAIL_URL","geometry"
10808958,"NY0033588","07","SHARON SPRINGS STP","BRIMSTONE CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0033588",c(-74.6129206702947, 42.8021491919276)
10808930,"NY0262935","07","WINDHAM WASTEWATER TREATMENT FACILITY","BATAVIA KILL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0262935",c(-74.2737633060393, 42.3029213321924)
10810137,"NY0263214","07","ASHLAND WASTEWATER TREATMENT PLANT","BATAVIA KILL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0263214",c(-74.3477382695206, 42.2971200678194)
10808784,"NY0268313","01","MOHAWK INNOVATIVE TECHNOLOGY INC","LISHA KILL CK SUBTRIB","https://extapps.dec.ny.gov/data/IF/SPDES/NY0268313",c(-73.8402793048305, 42.7439736503203)
10804799,"NY0026557","07","PINE HILL WWTP","BIRCH CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0026557",c(-74.4637009759362, 42.122404391163)
10806444,"NY0084590","01","MOUNTAINSIDE FARMS","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0084590",c(-74.5533086678766, 42.3134766036784)
10805271,"NY0023019","07","ELMA SD #1 JERGE SUBDIVISION","BIG BUFFALO CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0023019",c(-78.6223816234131, 42.8494558661701)
10805272,"NY0032051","07","ELMA SD #4 BRIGGSWOOD","BIG BUFFALO CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0032051",c(-78.6494400424575, 42.8495323655139)
10805273,"NY0033995","07","ELMA SD #5 - ELMA MEADOWS SUBDIVISION","BIG BUFFALO CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0033995",c(-78.595781413843, 42.827511253733)
10808133,"NY0203360","07","TOWN OF ELMA SEWER DISTRICT NO 7 - POND BROOK TOWNHOMES","POND BK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0203360",c(-78.6346589468598, 42.83826152386)
10808576,"NY0090191","01","MOOG INC","SPRING BROOK TRIB 1","https://extapps.dec.ny.gov/data/IF/SPDES/NY0090191",c(-78.6548602498387, 42.8015837561415)
10810071,"NY0269328","07","SPRINGBROOK SHORES WWTP","TRIBUTARY #11 OF BUFFALO CREEK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0269328",c(-78.6599775438471, 42.8307431914416)
10805190,"NY0021857","07","ALDEN SD #2 STP","CAYUGA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0021857",c(-78.572171139889, 42.8851223754541)
10805220,"NY0108103","07","ECSD NO 3 - HOLLAND WATER RESOURCE RECOVERY FACILITY","CAZENOVIA CK E BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0108103",c(-78.5489274845295, 42.6508828835624)
10806324,"NY0243493","07","KISSING BRIDGE SEWER DISTRICT #2","CAZENOVIA CK W BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0243493",c(-78.6522433125347, 42.5996067996438)
10808448,"NY0258938","09","CREEKSIDE MOBILE HOME PARK LLC",NA,"https://extapps.dec.ny.gov/data/IF/SPDES/NY0258938",c(-78.5760627062089, 42.7017704221013)
10809650,"NY0028436","05","EAST AURORA WASTE WATER RESOURCE RECOVERY FACILITY","CAZENOVIA CK E BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0028436",c(-78.6336318395063, 42.762939690522)
10809654,"NY0036714","07","CRANERIDGE SEWER DIST #1","CAZENOVIA CK W BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0036714",c(-78.6523075234269, 42.6023450999782)
