Name,Code,Latitude,Longitude,Miles from the mouth,Type
Salt Point Beach,SCDA,42.5411,-76.5494,,SYNOPTIC
Myers Park Beach,SCDB,42.5364,-76.5496,,SYNOPTIC
Finger Lakes Marina Beach,SCDC,42.5356,-76.5439,,SYNOPTIC
22 Ladoga Drive,SCDD,42.535,-76.542,,SYNOPTIC
16 Ladoga Drive,SCDE,42.5349,-76.5411,,SYNOPTIC
Ladoga Landing,SCDF,42.5353,-76.5396,,SYNOPTIC
Cargill A,SCDG,42.535,-76.5368,,SYNOPTIC
Cargill B,SCDH,42.5342,-76.5351,,SYNOPTIC
32 Ladoga Park Wetland,LPWA,42.5359,-76.5424,,INVESTIGATIVE
16 Ladoga Park Wetland,LPWB,42.5354,-76.5414,,
