Name,Code,Latitude,Longitude,Miles from the mouth,Type
T001,T001,42.4736,-76.5294,,SYNOPTIC
T095,T095,42.4808,-76.5325,,SYNOPTIC
T329,T329,42.5105,-76.5467,,SYNOPTIC
T381,T381,42.5151,-76.5489,,SYNOPTIC
T501,T501,42.5282,-76.5634,,SYNOPTIC
T679,T679,42.5414,-76.5917,,SYNOPTIC
T683,T683,42.5417,-76.5928,,SYNOPTIC
T695,T695,42.5425,-76.5942,,SYNOPTIC
T819,T819,42.4617,-76.5228,,SYNOPTIC
T883,T883,42.4663,-76.525,,SYNOPTIC
M083,M083,42.5055,-76.5443,,SYNOPTIC
M105,M105,42.504,-76.543,,SYNOPTIC
M119,M119,42.5096,-76.5463,,SYNOPTIC
W106,W106,42.5303,-76.5666,,SYNOPTIC
H263,H263,42.5759,-76.6484,,SYNOPTIC
T853,T853,42.4642,-76.5237,,SYNOPTIC
T179,T179,42.4919,-76.5371,,SYNOPTIC
T181,T181,42.492,-76.5372,,SYNOPTIC
H255,H255,42.5762,-76.6488,,SYNOPTIC
W102,W102,42.5305,-76.5672,,SYNOPTIC
T359,T359,42.5131,-76.547,,SYNOPTIC
T175,T175,42.4914,-76.5368,,SYNOPTIC
KT295,KT295,42.57555556,-76.64805556,,SYNOPTIC
H211,H211,42.57777778,-76.65027778,,SYNOPTIC
KT299,KT299,42.57472222,-76.6475,,SYNOPTIC
KT305,KT305,42.57416667,-76.64694444,,SYNOPTIC
H244,H244,42.57694444,-76.64972222,,SYNOPTIC
H251,H251,42.57666667,-76.64916667,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
