Name,Code,Latitude,Longitude,Miles from the mouth,Type
Cayuga Lake near Mouth of Salmon Creek,CLMSC-1,42.5379,-76.5527,,SYNOPTIC
Cayuga Lake North of Myers Point (E),CLMSC-2 Shallow,42.5406,-76.5543,,SYNOPTIC
Cayuga Lake North of Myers Point (H),CLMSC-2 Deep,42.5406,-76.5543,,SYNOPTIC
Middle of Lake Opposite Mouth of Salmon Creek (E),CLMSC-3 Shallow,42.5353,-76.5569,,SYNOPTIC
Middle of Lake Opposite Mouth of Salmon Creek (H),CLMSC-3 Deep,42.5353,-76.5569,,SYNOPTIC
Middle of Shallow Southern Shelf,Shelf Control,42.4757,-76.5133,,SYNOPTIC
Lake Source Cooling Outfall,LSC,42.4703,-76.5054,,SYNOPTIC
Cayuga Heights Sewage Outfall,CHSTP,42.4678,-76.5061,,SYNOPTIC
Ithaca Sewage Outfall,IASTP,42.4667,-76.5139,,SYNOPTIC
Cayuga Lake Frontenac Transect 1 (E),,42.5608,-76.6209,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 2 (E),,42.5637,-76.6164,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 3 (E),,42.5665,-76.6117,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 4 (E),,42.5682,-76.6088,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 5 (E),,42.57,-76.6059,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 1 (H),,42.5608,-76.6209,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 2 (H),,42.5637,-76.6164,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 3 (H),,42.5665,-76.6117,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 4 (H),,42.5682,-76.6088,,INVESTIGATIVE
Cayuga Lake Frontenac Transect 5 (H),,42.57,-76.6059,,INVESTIGATIVE
Cayuga Lake near Paines Creek Mouth,CLPC,42.739,-76.707,,INVESTIGATIVE
Cayuga Lake near Mill Creek Mouth,CLMC,42.6312,-76.6517,,INVESTIGATIVE
Cayuga Lake near Town Line Creek Mouth,CLTL,42.6166,-76.6442,,INVESTIGATIVE
Cayuga Lake near Dean\s Creek Mouth,CLDC,42.7686,-76.7113,,INVESTIGATIVE
Cayuga Lake near Dean\s Creek Mouth- Plume,CLDC-P,42.7682,-76.7108,,INVESTIGATIVE
Cayuga Lake Control,CLLP,42.7144,-76.7275,,INVESTIGATIVE
Cayuga Lake near Trumansburg Creek Mouth,CLTB,42.5597,-76.6268,,INVESTIGATIVE
Cayuga Lake near Taughannock Creek Mouth,CLTG,42.5497,-76.599,,INVESTIGATIVE
Cayuga Lake near Bolton Point,CLBP,42.5025,-76.5173,,INVESTIGATIVE
Cayuga Lake near Myers Park,CLMP,42.5326,-76.5448,,INVESTIGATIVE
Cayuga Lake near Taughannock Park,CLT,42.5438,-76.5949,,INVESTIGATIVE
Cayuga Lake near Ithaca Yacht Club,CLIYC,42.4974,-76.5399,,INVESTIGATIVE
Cayuga Lake North End- South of Railroad Bridge,CLRR,42.919,-76.74,,SYNOPTIC
Cayuga Lake North End,CLNE,42.9308,-76.7298,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
