Name,Code,Latitude,Longitude,Miles from the mouth,Type
Dean\s Creek Mouth,DCM,42.7693,-76.7094,0.0592803,SYNOPTIC
Town Line Creek Mouth,TLM,42.6171,-76.642,0.0595,SYNOPTIC
Mill Creek Mouth,MCM,42.6317,-76.6498,0.112311,SYNOPTIC
Paines Creek Mouth,PCO/PCM,42.7365,-76.6997,0.199811,SYNOPTIC
Town Line Creek Lake Rd,TLL,42.6251,-76.6225,1.2625,SYNOPTIC
Mill Creek Atwater Rd,MCA,42.636,-76.6285,1.3233,SYNOPTIC
Paines Creek Moonshine,PCMS,42.7272,-76.6872,1.34848,SYNOPTIC
Lake Ridge Creek,LRC/TLB,42.609,-76.6131,1.43731,SYNOPTIC
Mill Creek Tributary Lake Rd,MCT,42.6334,-76.6234,1.51117,SYNOPTIC
Dean\s Creek Sherwood,DCS,42.7588,-76.6788,1.95701,SYNOPTIC
Mill Creek Belltown Rd,MCB,42.6368,-76.5938,3.26212,SYNOPTIC
Paines Creek Tributary,PCT,42.7217,-76.6601,3.30114,SYNOPTIC
Dean\s Creek Dublin Hill,DCDH,42.7522,-76.6508,3.61837,SYNOPTIC
Dean\s Creek at 34B,DC34B,42.7511,-76.6192,5.39,SYNOPTIC
Paines Creek Rafferty Road,PCR,42.6843,-76.6415,6.15038,SYNOPTIC
Mill Creek - Atwater Rd,,42.6357,-76.6343,,BIOLOGICAL
Paines Creek - Moonshine Rd,,42.7268,-76.6847,,BIOLOGICAL
Lake Ridge Creek - Old Orchard Rd,,42.597792,-76.630304,,BIOLOGICAL
Mill Creek - downstream of Lake Rd,,42.635728,-76.634322,,BIOLOGICAL
Paines Creek - mouth,,42.735908,-76.698634,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
