Name,Code,Latitude,Longitude,Miles from the mouth,Type
Milliken Station #4,Mill 4,42.5978,-76.6317,0.16,SYNOPTIC
Milliken Station #3.5,Mill 3.5,42.5978,-76.6302,0.2,SYNOPTIC
Milliken Station #3,Mill 3,42.6073,-76.6159,1.34,SYNOPTIC
Milliken Station #2,Mill 2,42.6086,-76.6134,1.53,SYNOPTIC
Milliken Creek #1,Mill 1,42.6192,-76.5942,2.91,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
