Name,Code,Latitude,Longitude,Miles from the mouth,Type
Visitor\s Center,VC,42.4648,-76.5003,,SYNOPTIC
Cayuga Lake Shore,SPCL,42.4625,-76.5036,,SYNOPTIC
Sanctuary Stream,SPSS,42.4599,-76.5035,,SYNOPTIC
Fall Creek Mouth,SPFCM,42.4575,-76.5046,,SYNOPTIC
East Shore Sailing Club,,42.4714,-76.5038,,INVESTIGATIVE
Headwaters Marsh,L2M,42.4618,-76.4616,,INVESTIGATIVE
Golf Course,PGBG,42.4634,-76.4649,,INVESTIGATIVE
Parkway 378,F1A,42.4673,-76.487,,INVESTIGATIVE
End of Sheldon,F1B,42.4635,-76.4787,,INVESTIGATIVE
710 Triphammer,F1C,42.4625,-76.4832,,INVESTIGATIVE
South of Devon,PGBR,42.4628,-76.4948,,INVESTIGATIVE
Devon & Sunset,L3B,42.4639,-76.4948,,INVESTIGATIVE
North of Devon,L3C,42.4648,-76.4954,,INVESTIGATIVE
IHS Football Field,L4A,42.4589,-76.4968,,INVESTIGATIVE
Rt 13 On-Ramp,L4B,42.464,-76.4977,,INVESTIGATIVE
Renwick Brook South,RBS,42.4712,-76.5036,,INVESTIGATIVE
Pleasant Brook/Stewart,PBRR,42.4611,-76.5011,,INVESTIGATIVE
Unnamed/Cayuga Heights,UCHB,42.4748,-76.5054,,INVESTIGATIVE
Fall Creek Mouth from Stewart Park Bridge,FCMSPB/SPB,42.4584,-76.5053,,INVESTIGATIVE
Highgate Place (3),UCHH,42.47781,-76.490804,,INVESTIGATIVE
Cayuga Heights Brook- Winthrop Dr.,UCHW,42.4741839,-76.4790588,,INVESTIGATIVE
Renwick Brook (North Branch)- Texas Lane Path,RBNT,42.4720712,-76.4754516,,INVESTIGATIVE
Renwick Brook (South Branch)- Texas Lane,RBST,42.470556,-76.4796133,,INVESTIGATIVE
Pleasant Grove Brook- East Shore Dr.,PGBE,42.4625664,-76.4980817,,INVESTIGATIVE
Highgate Rd. (10),RBHR,42.4729,-76.491593,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
