Name,Code,Latitude,Longitude,Miles from the mouth,Type
Camp Barton,TBCB,42.5582,-76.6266,-1.42175,SYNOPTIC
Outfall of Sewage Plant,TBOF,42.5406,-76.6498,0.558364,SYNOPTIC
Lake Street Bridge,TBLB,42.5413,-76.6508,0.770295,SYNOPTIC
Salo Drive,TBSA,42.5415,-76.667,1.64359,SYNOPTIC
Curry Road,TBCR,42.5378,-76.6851,2.60836,SYNOPTIC
Boardman Creek,BMCR,42.5472,-76.6873,2.99283,SYNOPTIC
Trumansburg Creek - Downstream of Wastewater Treatment Facility,,42.540714,-76.649079,,BIOLOGICAL
Sewage Plant Outfall Tributary Mouth,TBOF2,42.5405,-76.6496,,INVESTIGATIVE
Cemetery Road,,,,,INVESTIGATIVE
Camp Barton Falls,,,,,INVESTIGATIVE
Trumansburg Creek - King Street,,42.5413,-76.6508,,BIOLOGICAL
Extension Road,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
