Name,Code,Latitude,Longitude,Miles from the mouth,Type
Shequaga Creek in Montour Falls,SCMF,42.3468,-76.8514,2.85,RED FLAG
Shequaga Creek at Cronk Rd,SCCR,42.3286,-76.8849,5.35,RED FLAG
Shequaga Creek @ Johnson Hollow,SCJH,42.3177,-76.8972,6.56,INVESTIGATIVE
Shequaga Creek @ Russell Rd,SCRR,42.315,-76.9284,8.367,INVESTIGATIVE
Shequaga Creek @ Cooley Road,SCDR,42.3095,-76.9495,9.51,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
