Name,Code,Latitude,Longitude,Miles from the mouth,Type
E. Branch Canasawacta @ Hwy 23,EB23,42.5902,-75.5814,6.63,RED FLAG
Canasawacta Creek @ Chan-Aldrich Rd,CA23,42.5996,-75.6119,8.46,RED FLAG
E. Branch Canasawacta Creek @ Pike Hill Rd,EBPH,42.6162,-75.6034,9.07,RED FLAG
Cook House Creek @ Rt 23,CH23,42.6044,-75.6405,10.14,RED FLAG
Lower Hawley Brook @ Cnty Rd 16,HB16,42.6362,-75.6245,11.22,RED FLAG
Mid Hawley Brook @ Boos Law Road,HBBL,42.6462,-75.6226,11.93,RED FLAG
Upper Hawley Brook @ Beaver Meadow Rd,HBBM,42.6616,-75.6274,13.83,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
