Name,Code,Latitude,Longitude,Miles from the mouth,Type
Mudlick Creek @ Birch Creek Rd,MCB,42.0274,-76.9727,,RED FLAG
Hendy Creek @ Hendy Creek Rd,CRF3,42.076,-76.9273,,RED FLAG
Whiskey Creek at Riff Rd,CRF1,42.0991,-77.0398,,RED FLAG
Whiskey Creek at River Rd,CRF2,42.1201,-77.0217,,RED FLAG
Ryers Creek @ Johnson Road,TCR,42.065,-77.107,,RED FLAG
Meads Creek @ Coon Hollow Rd,MCCH,42.2902,-77.0668,,RED FLAG
Hodgmans Creek near Erwin Hollow Rd,HCEH,42.1811,-77.1044,,RED FLAG
Cutler Creek @ Dyke Rd,CUDR,42.2011,-77.0388,,RED FLAG
Cutler Creek @ Hornby Rd,CHR,42.1773,-77.0661,,RED FLAG
Post Creek @ Ferenbaugh Campground,PCFC,42.2024,-76.9916,,RED FLAG
Owen Hollow Creek @ 352,OHC352,42.1325,-76.9372,,RED FLAG
Hoffman Brook - 910 Hoffman St,,42.094763,-76.829748,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
