Name,Code,Latitude,Longitude,Miles from the mouth,Type
Fly Meadow Creek @ Georgetown PullOver,FMGP,42.4626,-75.5851,0.99,RED FLAG
Fly Meadow Creek @ Kalicicki Road,FMKR,42.483,-75.5985,2.74,RED FLAG
Fly Meadow Creek @ Tamarac Road Bridge,FMTR,42.5194,-75.6159,5.97,RED FLAG
Fly Meadow Creek @ Ruth\s Bridge,FMRB,42.5316,-75.623,7.03,RED FLAG
Fly meadow Tributary @ Old Mill Dam,FMOM,42.5363,-75.6169,7.41,RED FLAG
Preston Public Spring,PPS,42.5607,-75.6195,9.2,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
