Name,Code,Latitude,Longitude,Miles from the mouth,Type
Pony Hollow Creek @ Driveway Crossing,PHJH,42.3088,-76.6771,,SYNOPTIC
Pony Hollow Creek Wetland @ Mazourek,PHW,42.3242,-76.6479,,SYNOPTIC
Pony Hollow Creek @ Connecticut Hill Rd.,PHCH,42.3178,-76.6664,,SYNOPTIC
Chaffee Creek @ Route 13,CH13,42.3047,-76.6765,,SYNOPTIC
Pony Hollow Creek @ Cayuta Rd.,PHCR,42.296,-76.6857,,SYNOPTIC
Chaffey Creek,,42.314,-76.6631,,INVESTIGATIVE
Pony Hollow Creek - Cayuta Rd near Rte 13,,42.296081,-76.685647,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
