Name,Code,Latitude,Longitude,Miles from the mouth,Type
Yaleville Brook @ Cooper School House Rd,YBCS,42.3484,-75.4926,,RED FLAG
Wilkins Brook @ Cnty Rd 17,WB17,42.2742,-75.5427,,RED FLAG
Kelsey Brook @ Algerine St,KBA,42.2404,-75.5263,,RED FLAG
Bumps Creek @ School Parking Lot,BCSP,42.2307,-75.5299,,RED FLAG
Cornell Creek @ Decker Rd,CCDR,42.2052,-75.5354,,RED FLAG
Wylie Brook @ Rt 7 & 235,WB235,42.1907,-75.6168,,RED FLAG
Wyley Brook - upstream of Rte 7,,42.192147,-75.618586,,BIOLOGICAL
Bumps Creek - Afton,,42.2304,-75.5327,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
