REGION,SPDES ID,SIZE,FACILITY NAME,ADDRESS,FACILITY CITY,ZIP,COUNTY,CNMP ACRES,full address,latitude,longitude
2,NYA00E164,MEDIUM,AQUEDUCT RACETRACK,110-00 ROCKAWAY BLVD.,JAMAICA,11417,QUEENS,0,"110-00 ROCKAWAY BLVD., JAMAICA, New York, 11417",40.6728572,-73.832624
3,NYA00E165,MEDIUM,"COON BROTHERS FARM, LLC.",407 SEPARATE ROAD,AMENIA,12501,DUTCHESS,2132,"407 SEPARATE ROAD, AMENIA, New York, 12501",41.8845414,-73.6002201
3,NYA00E167,LARGE,HAROLD BREY & SONS INC,607 SWISS HILL ROAD,JEFFERSONVILLE,12748,SULLIVAN,149,"607 SWISS HILL ROAD, JEFFERSONVILLE, New York, 12748",41.7330168,-74.9251701
3,NYA00E168,LARGE,"HVFG, LLC",80 BROOKS ROAD,FERNDALE,12734,SULLIVAN,2000,"80 BROOKS ROAD, FERNDALE, New York, 12734",41.754751,-74.744475
3,NYA00E072,MEDIUM,"MONTICELLO RACEWAY MNGT., INC",240 STATE ROUTE 17B,MONTICELLO,12701,SULLIVAN,0,"240 STATE ROUTE 17B, MONTICELLO, New York, 12701",41.665877,-74.7196299
3,NYA00E171,LARGE,LABELLE FARM INC,504 STANTON CORNER ROAD,FERNDALE,12734,SULLIVAN,250,"504 STANTON CORNER ROAD, FERNDALE, New York, 12734",41.7444425,-74.741045
3,NYA00E173,LARGE,BELLA POULTRY INC.,PO. BOX 555  29 FRASER ROAD,FERNDALE,12734,SULLIVAN,0,"PO. BOX 555  29 FRASER ROAD, FERNDALE, New York, 12734",41.7110786,-74.7642885
3,NYA00E170,LARGE,HITS-ON-THE-HUDSON,454 WASHINGTON AVENUE,SAUGERTIES,12477,ULSTER,0,"454 WASHINGTON AVENUE, SAUGERTIES, New York, 12477",42.0853071,-73.9517478
3,NYA00E172,MEDIUM,EMPIRE CITY CASINO AT YONKERS RACEWAY,810 YONKERS AVENUE,YONKERS,10704,WESTCHESTER,0,"810 YONKERS AVENUE, YONKERS, New York, 10704",40.9194178,-73.8647338
4,NYA00E102,LARGE,STANTON FARMS,7 BIERS ROAD,COEYMANS HOLLOW,12046,ALBANY,2157,"7 BIERS ROAD, COEYMANS HOLLOW, New York, 12046",42.505649,-73.8981029
4,NYA00E332,MEDIUM,"LO-NAN FARMS, LLC.","172 MT. ROSS ROAD, STOP #2",PINE PLAINS,12567,COLUMBIA,1884,"172 MT. ROSS ROAD, STOP #2, PINE PLAINS, New York, 12567",42.008278,-73.695781
4,NYA00E180,LARGE,"CTZK FARM 2, LLC",533 NORTH MOUNTAIN ROAD,COPAKE FALLS,12517,COLUMBIA,3700,"533 NORTH MOUNTAIN ROAD, COPAKE FALLS, New York, 12517",42.1442605,-73.5069656
4,NYA00E176,LARGE,WIL-ROC FARMS,2167 US ROUTE 9,KINDERHOOK,12106,COLUMBIA,2560,"2167 US ROUTE 9, KINDERHOOK, New York, 12106",42.385152,-73.731362
4,NYA00E177,LARGE,"DUTCH HOLLOW FARM,LLC.",101 RUNNING CREEK ROAD,SCHODACK LANDING,12156,COLUMBIA,2000,"101 RUNNING CREEK ROAD, SCHODACK LANDING, New York, 12156",42.4579075,-73.7251221
4,NYA00E178,MEDIUM,A. OOMS & SONS,243 ROUTE 28A,VALATIE,12184,COLUMBIA,1500,"243 ROUTE 28A, VALATIE, New York, 12184",41.970047,-74.0724626
4,NYA00E251,MEDIUM,MARICK FARM,12860 TURNPIKE ROAD,EAST MEREDITH,13757,DELAWARE,990,"12860 TURNPIKE ROAD, EAST MEREDITH, New York, 13757",42.4163857,-74.7995353
4,NYA00E253,MEDIUM,HAGER FARMS,8400 COUNTY HIGHWAY 33,BLOOMVILLE,13739,DELAWARE,1559,"8400 COUNTY HIGHWAY 33, BLOOMVILLE, New York, 13739",42.7646046,-74.788338
4,NYA00E181,MEDIUM,"CHARLES RIVER LAB, SUNRISE FARMS, INC.",105 CAUTERSKILL ROAD,CATSKILL,12414,GREENE,0,"105 CAUTERSKILL ROAD, CATSKILL, New York, 12414",42.2260254,-73.9732672
4,NYA00E103,MEDIUM,STONY BROOK FARMS,368 YOUNGS CORNER ROAD,AMSTERDAM,12010,MONTGOMERY,1242,"368 YOUNGS CORNER ROAD, AMSTERDAM, New York, 12010",42.876308,-74.253921
4,NYA00E385,LARGE,"MILK TRAIN, INC",247 FLAT CREEK ROAD,SPRAKERS,12166,MONTGOMERY,1952,"247 FLAT CREEK ROAD, SPRAKERS, New York, 12166",42.8522197,-74.475054
4,NYA00E070,MEDIUM,GOTTIER FARMS,176 MCGRAW ROAD,AMSTERDAM,12010,MONTGOMERY,802,"176 MCGRAW ROAD, AMSTERDAM, New York, 12010",42.9281169,-74.2578457
4,NYA00E387,MEDIUM,"ENVISION DAIRY, LLC.",568 LANGLEY ROAD,AMSTERDAM,12010,MONTGOMERY,968,"568 LANGLEY ROAD, AMSTERDAM, New York, 12010",42.889649,-74.1775056
