site_id,waterbody_name,municipality,description,latitude,longitude,pwl_id,fips_code,dec_region,nhd_reach_code,watershed_id,old_ribs_id,sampleinfo_present,chem_lab_present,chem_insitu_present,macroinfometrics_present,macroraw_present,habitat_present,userperc_present,"Hardness  (mg/L, as CaCO3) [n, ave, min, max]",Select Summary Statistics:, ,"pH (n, ave, min, max)", ,-- Data Availability --,x,y
17-ABET-1.0,Abets Creek,Brookhaven,upstream of culvert on south country rd.,40.761745,-72.976233,1701-0239,103,1,,(MW6.3e) GB-SIS-SHB-134,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8123677.0975712845,4977262.368654264
03-ABIJ-2.9,Abijah Creek,Worth,500 ft east off cr 95.,43.76523,-75.89215,0303-0053,45,6,,Ont 45,,F,F,F,F,F,F,T,[object Promise],,,[object Promise],,,-8448275.493206732,5429182.574715185
11-LROND-0.0,Adirondack Lake,Indian Lake,,43.79,-74.2624,1104-0074,41,5,,H-461-15-P587a,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8266852.553086394,5433001.504126964
13-AGAW-3.2,Agawamuck Creek,Claverack,20 m above stevers crossing rd. bridge.,42.23333,-73.63055,1310-0060,21,4,,H-204- 3,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8196515.332828666,5195995.480769366
10-ALDE-0.7,Alder Brook,Franklin,10 m above rte 3.,44.57167,-73.94384,1003-0038,33,5,,C- 15-22,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8231390.61609929,5554339.8748220885
07-ALDC-0.1,Alder Creek,Lewis,near fish creek. 15 m above junction rd. bridge. 40 m above e. br. fish creek.,43.52778,-75.54916,0703-0067,49,6,,ONT-66-11-P26-24-14-29,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8410094.021059548,5392653.508431778
08-ALDR-2.0,Alder Creek,Boonville,10 m below egypt rd. bridge.,43.42306,-75.23027,0801-0424,65,6,,ONT-19-103,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8374595.348640481,5376589.19836554
14-LALDR-0.0,Alder Lake,Hardenburgh,Site Condition listed as reference.,42.048401,-74.6763,1403-0086,111,3,2040102003851,D-70-20-47-P346,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8312927.690325732,5168232.438725168
09-ALDM-0.8,Alder Meadow Brook,Parishville,cook rd. bridge half mile from colton parishville rd.,44.619304,-74.843002,0902-0115,89,6,4150306001706,SL(C)-32-20-12,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8331484.872079951,5561786.486186886
02-ALGY-9.4,Allegheny River,Cold Spring,rte. 17 bridge.,42.1,-78.86195,0201-0023,9,9,,PA-53,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8778872.1169646,5175970.749206322
02-ALGY-20.3,Allegheny River,Salamanca,200 m below main street bridge.,42.15716,-78.71793,0201-0023,9,9,,PA-53,02010023,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8762839.88390055,5184550.3988752505
02-ALGY-21.1,Allegheny River,Salamanca,150 m above rt. 417 bridge.,42.15454,-78.70354,0201-0023,9,9,,PA-53,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8761237.996428035,5184156.970548411
02-ALGY-28.6,Allegheny River,Carrollton,200 m below sr 219 bridge.,42.08372,-78.6417,0201-0024,9,9,,PA-53,,T,F,T,T,T,F,T,[object Promise],,,[object Promise],,,-8754353.999117378,5173528.555496178
02-ALGY-33.1,Allegheny River,Allegany,above bridge off south nine mile rd.,42.09417,-78.57388,0201-0024,9,9,,PA-53,,T,F,T,T,T,F,T,[object Promise],,,[object Promise],,,-8746804.311251778,5175096.107790736
02-ALGY-37.4,Allegheny River,Allegany,south side of allegheny bridge.,42.09031,-78.50125,0201-0025,9,9,,PA-53,,T,F,T,T,T,F,T,[object Promise],,,[object Promise],,,-8738719.176635463,5174517.058397662
02-ALGY-42.0,Allegheny River,Olean,below union st. (rte 16) bridge. at boat launch.,42.0701,-78.4312,0201-0025,9,9,,PA-53,,T,F,T,T,T,F,T,[object Promise],,,[object Promise],,,-8730921.246305397,5171485.874828234
02-ALGY-44.5,Allegheny River,Olean,above haskell creek; e. river drive.,42.06582,-78.39345,0201-0009,9,9,,PA-53,,T,F,T,T,T,F,T,[object Promise],,,[object Promise],,,-8726718.935527949,5170844.065686131
02-ALGY-49.5,Allegheny River,Portville,250 m below west river rd. bridge.,42.01625,-78.34212,0201-0026,9,9,,PA-53,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8721004.90606553,5163413.926132922
09-ALLE-1.9,Allen Brook,Lawrence,hallahan rd.,44.79634,-74.71885,0902-0100,89,6,,SL(C)-32- 6- 3,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8317664.334658986,5589516.168448318
09-ALLE-6.6,Allen Brook,Lawrence,cr 55 bridge.,44.75774,-74.66948,0902-0101,89,6,,SLC-32-6-3-2,,T,F,T,F,F,T,T,[object Promise],,,[object Promise],,,-8312168.491398521,5583462.897830514
12-ALLN-0.1,Allen Brook,Hunter,100 m above confl w/gooseberry ck. below golf cours.,42.18889,-74.14917,1202-0066,39,4,,H-240-82-147b-1,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8254247.847143874,5189316.379999292
03-ALEN-0.3,Allen Creek,Penfield,allen creek development; 50 m below bridge.,43.13134,-77.50321,0302-0022,55,8,,ONT-18-P113-3-8,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8627617.872044144,5331984.549110703
03-ALEN-7.8,Allen Creek,Henrietta,just upstream of brighton henrietta.,43.09546,-77.58852,0302-0022,55,8,,ONT-18-P113-3-8,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8637114.537803717,5326513.138058286
03-WCORG-1.4,Allen Creek,Brighton,upstream from swimming/fishing hole in corbett's glen nature park.,43.134266,-77.525088,0302-0022,55,8,,ONT-108/P113-3,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8630053.319863722,5332430.882061812
12-ALPL-0.2,Alplaus Kill,Glenville,at alplaus ave bridge.,42.85472,-73.90334,1201-0099,93,4,,H-24-20,,F,F,F,T,T,F,F,[object Promise],,,[object Promise],,,-8226882.1767221615,5289884.827997507
12-ALPL-1.5,Alplaus Kill,Glenville,50 m above glenridge rd. bridge.,42.8669,-73.90219,1201-0099,93,4,,H-240-20,12051101,T,T,T,T,T,F,F,[object Promise],,,[object Promise],,,-8226754.15930775,5291734.563309976
12-ALPL-1.8,Alplaus Kill,Glenville,just upstream of confluence with indian kill.,42.86985,-73.90183,1201-0099,93,4,,H-240-20-2,,T,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8226714.084291065,5292182.624710824
12-ALPL-3.0,Alplaus Kill,Clifton Park,at end of rustic rd.,42.8875,-73.89638,1201-0099,91,5,,H-24-20,,F,F,F,T,T,F,F,[object Promise],,,[object Promise],,,-8226107.393066241,5294863.846333061
12-ALPL-6.2,Alplaus Kill,Glenville,above van vorst rd.,42.90528,-73.91889,1201-0099,93,4,,H-24-20,,F,F,F,T,T,F,F,[object Promise],,,[object Promise],,,-8228613.194804,5297565.592125603
12-ALPL-9.9,Alplaus Kill,Charlton,below swaggertown rd.,42.92472,-73.97056,1201-0099,91,5,,H-24-20,,F,F,F,T,T,F,F,[object Promise],,,[object Promise],,,-8234365.072893288,5300520.473817013
12-ALPL-10.8,Alplaus Kill,Charlton,75 m upstream of crane st bridge.,42.930292,-73.98356,1201-0099,91,4,,H-240-20,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8235812.226273598,5301367.590222515
12-ALPL-12.9,Alplaus Kill,Charlton,above charlton rd.,42.93778,-74.00639,1201-0099,91,5,,H-24-20,,F,F,F,T,T,F,F,[object Promise],,,[object Promise],,,-8238353.650248407,5302506.118614906
12-ALPL-16.1,Alplaus Kill,Charlton,below route 67.,42.9745,-74.0199,1201-0099,91,5,,H-24-20,12051117,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8239857.5765690245,5308091.292007498
12-WALPL-1.5,Alplaus Kill,Glenville,glenridge rd. upstream from bridge.,42.867441,-73.901717,1201-0099,93,4,,H-240-20,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8226701.505188605,5291816.731610922
12-WALPL-10.8,Alplaus Kill,Charlton,75 m upstream of crane st bridge.,42.930292,-73.98356,1201-0099,91,4,,H-240-20,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8235812.226273598,5301367.590222515
09-AMPR-2.6,Ampersand Brook,Harrietstown,coreys rd. walk thru woods to stream.,44.19833,-74.29666,0903-0162,33,5,,SL-1-133,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8270666.358840973,5496185.681516286
14-LANAW-0.0,Anawanda Lake,Fremont,,41.85738,-74.96345,1401-0129,105,3,,D-53-2- 9-2-P251,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8344893.082107021,5139639.543070715
14-ANAW-0.4,Anawanna Brook,Thompson,60 meters nw off thompson.,41.65778,-74.66293,1402-0052,105,3,,D- 1-38-3-2,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8311439.348733824,5109853.5984604815
