"site_no","station_nm","dec_lat_va","dec_long_va","begin_date","end_date","count_nu","latitude","longitude","begin_date_flow","end_date_flow","nflowdays"
"04282815","ENGLESBY BROOK AT BURLINGTON, VT",44.4578272,-73.219294,1999-03-29,2009-11-27,2091,44.4578272,-73.219294,"1999-09-30","2010-09-30",4019
"04282636","LITTLE OTTER CR @ MIDDLEBRK RD, NR FERRISBURG, VT",44.1989436,-73.2120667,1999-10-28,2005-09-14,673,44.1989436,-73.2120667,"2003-03-18","2003-07-25",50
"04282634","LITTLE OTTER CR AB MIDDLEBRK RD NR FERRISBURG, VT",44.2042214,-73.2034556,1999-10-28,2005-09-14,495,44.2042214,-73.2034556,"2003-03-18","2003-07-22",42
"04296000","BLACK RIVER AT COVENTRY, VT",44.8689363,-72.2701041,1977-10-20,1994-09-08,115,44.8689363,-72.2701041,"1951-10-01","2023-10-25",26309
"01138500","CONNECTICUT RIVER AT WELLS RIVER, VT",44.15339689,-72.0417577,1979-04-10,2023-06-16,101,44.15339689,-72.0417577,"1949-12-14","2023-10-25",26979
"01144000","WHITE RIVER AT WEST HARTFORD, VT",43.71423614,-72.418149,1993-03-22,2023-06-14,85,43.71423614,-72.418149,"1915-06-09","2023-10-25",39220
"01333350","HOOSIC RIVER AT ROUTE 346, NEAR NORTH POWNAL, VT",42.80888889,-73.2858333,1969-08-19,1975-05-21,67,42.80888889,-73.2858333,"1969-10-06","1972-09-07",34
"01135500","PASSUMPSIC RIVER AT PASSUMPSIC, VT",44.3656147,-72.0392613,1994-06-22,2023-06-15,49,44.3656147,-72.0392613,"1928-11-15","2023-10-24",34673
"01142500","AYERS BROOK AT RANDOLPH, VT",43.93450969,-72.6578821,2002-12-11,2023-06-14,48,43.93450969,-72.6578821,"1939-07-15","2023-10-25",30540
"01134500","MOOSE RIVER AT VICTORY, VT",44.5117231,-71.8373143,1995-08-29,2023-06-15,48,44.5117231,-71.8373143,"1947-01-01","2023-10-25",28057
"01139830","PIKE HILL BR AB RICHARDSON RD, NR BRADFORD, VT",44.0639538,-72.30148518,2004-10-20,2007-10-18,36,44.0639538,-72.30148518,"2004-10-18","2006-09-30",713
"01135300","SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",44.4353353,-72.03842899,1993-03-23,1995-09-12,33,44.4353353,-72.03842899,"1990-10-01","2023-10-25",12078
"04296500","CLYDE RIVER AT NEWPORT, VT",44.94032449,-72.1892684,1974-10-16,1977-09-22,31,44.94032449,-72.1892684,"1909-05-25","2023-10-25",39047
"01139838","PIKE HILL BROOK @ PIKE HILL ROAD, NR BRADFORD, VT",44.05339875,-72.25287248,2004-10-20,2007-10-17,31,44.05339875,-72.25287248,"2004-10-01","2006-09-30",730
"01153000","BLACK RIVER AT NORTH SPRINGFIELD, VT",43.33340716,-72.51481258,1976-11-11,1980-11-20,28,43.33340716,-72.51481258,"1929-11-26","2023-10-25",24075
"01152800","BLACK R AT COVERED BRIDGE, AT WEATHERSFIELD, VT",43.39785038,-72.5200912,1976-11-11,1980-11-20,27,43.39785038,-72.5200912,"1975-12-01","1981-11-30",2192
"01139833","PIKE HILL BR @ PIKE HILL RD W X, NR BRADFORD, VT",44.05784296,-72.2812067,2004-10-20,2007-10-18,21,44.05784296,-72.2812067,"2005-06-01","2006-09-30",487
