"agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no"
"USGS","01134500","MOOSE RIVER AT VICTORY, VT","ST",443042,715016,44.5117231,-71.8373143,"M","S","NAD27","NAD83","33","50","009","US",NA,"GALLUP MILLS, VT","  24000",1103.46,"L",0.16,"NAVD88","01080102",NA,"C","YNNNYNYNNYYNNNNNNNNNNNNNNNNNNN",NA,NA,75.2,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01135300","SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT","ST",442607,720220,44.4353353,-72.03842899,"M","S","NAD27","NAD83","33","50","005","US",NA,"SAINT JOHNSBURY, VT","  25000",641.27,"L",0.01,"NAVD88","01080102",NA,"C","YNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,19911220,42.9,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01135500","PASSUMPSIC RIVER AT PASSUMPSIC, VT","ST",442156,720223,44.3656147,-72.0392613,"M","S","NAD27","NAD83","33","50","005","US",NA,"BARNET, VT-NH","  25000",487.79,"X",0.12,"NAVD88","01080102",NA,"C","YNNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,436,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01138500","CONNECTICUT RIVER AT WELLS RIVER, VT","ST",440912,720232,44.15339689,-72.0417577,"M","S","NAD27","NAD83","33","50","017","US",NA,"WOODSVILLE, VT-NH","  24000",399.37,"L",0.01,"NAVD88","01080101",NA,"C","YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,2644,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01139830","PIKE HILL BR AB RICHARDSON RD, NR BRADFORD, VT","ST",440350,721807,44.0639538,-72.30148518,"M","S","NAD27","NAD83","33","50","017","US",NA,"WEST TOPSHAM, VT","  24000",1400,"M",20,"NGVD29","01080103",NA,"C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,0.11,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","01139833","PIKE HILL BR @ PIKE HILL RD W X, NR BRADFORD, VT","ST",440328,721654,44.05784296,-72.2812067,"M","S","NAD27","NAD83","33","50","017","US",NA,"WEST TOPSHAM, VT","  24000",1190,"M",20,"NGVD29","01080103",NA,"C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1.1,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","01139838","PIKE HILL BROOK @ PIKE HILL ROAD, NR BRADFORD, VT","ST",440312,721512,44.05339875,-72.25287248,"M","S","NAD27","NAD83","33","50","017","US",NA,"WEST TOPSHAM, VT","  24000",940,"M",20,"NGVD29","01080103",NA,"C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3.64,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","01142500","AYERS BROOK AT RANDOLPH, VT","ST",435604,723930,43.93450969,-72.6578821,"M","S","NAD27","NAD83","33","50","017","US",NA,"RANDOLPH, VT","  24000",630.13,"X",0.13,"NAVD88","01080105",NA,"C","YNNNYNYNNYNNNYNNNNNNNNNNNNNNNN",NA,NA,30.5,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01144000","WHITE RIVER AT WEST HARTFORD, VT","ST",434251,722507,43.71423614,-72.418149,"M","S","NAD27","NAD83","33","50","027","US",NA,"QUECHEE, VT","  24000",374.32,"L",0.16,"NAVD88","01080105",NA,"C","YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,690,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01152800","BLACK R AT COVERED BRIDGE, AT WEATHERSFIELD, VT","ST",432352,723114,43.39785038,-72.5200912,"M","S","NAD27","NAD83","33","50","027","US",NA,"CAVENDISH, VT","  24000",565.33,"L",0.01,"NGVD29","01080106",NA,"C","YNNNNNNNNYNNNNNNNNNNNNNNNNNNNN",NA,NA,114,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
