"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"USGS","01302500",1971-10-08,"09:35",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.2,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1971-10-08 14:35:00,NA,"UTC"
"USGS","01302500",1972-04-18,"09:40",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.1,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1972-04-18 14:40:00,NA,"UTC"
"USGS","01302500",1972-08-15,"14:30",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.7,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1972-08-15 19:30:00,NA,"UTC"
"USGS","01302500",1973-09-21,"12:45",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.8,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1973-09-21 17:45:00,NA,"UTC"
"USGS","01302500",1974-01-02,"11:30",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.7,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1974-01-02 16:30:00,NA,"UTC"
"USGS","01302500",1974-03-26,"14:00",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.9,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1974-03-26 19:00:00,NA,"UTC"
"USGS","01302500",1974-10-18,"08:30",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.8,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1974-10-18 13:30:00,NA,"UTC"
"USGS","01302500",1975-01-08,"13:30",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.4,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1975-01-08 18:30:00,NA,"UTC"
"USGS","01302500",1975-03-26,"09:30",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,3.7,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1975-03-26 14:30:00,NA,"UTC"
"USGS","01302500",1975-06-27,"08:00",NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"00600",NA,4.4,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1975-06-27 13:00:00,NA,"UTC"
