"agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no"
"USGS","01302500","GLEN COVE CREEK AT GLEN COVE NY","ST",405148,733803,40.8633333,-73.6341667,"M","S","NAD83","NAD83","36","36","059","US",NA,"SEA CLIFF, NY","  24000",15.68,"L",0.01,"NGVD29","02030201",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,14.4,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01303000","MILL NECK CREEK AT MILL NECK NY","ST",405314.7,733347.5,40.88741667,-73.5631944,"N","1","NAD83","NAD83","36","36","059","US",NA,"BAYVILLE, NY","  24000",6.49,"L",0.01,"NGVD29","02030201",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8.58,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY","ST",405059.7,731327.2,40.84991667,-73.2242222,"N","1","NAD83","NAD83","36","36","103","US",NA,"CENTRAL ISLIP, NY","  24000",9.59,"L",0.01,"NGVD29","02030201",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,27,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,"RBUSCIOLANO"
"USGS","01304500","PECONIC RIVER AT RIVERHEAD NY","ST",405449.3,724113,40.91369444,-72.6869444,"N","1","NAD83","NAD83","36","36","103","US",NA,"RIVERHEAD, NY","  24000",6.54,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,74.7,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01305000","CARMANS RIVER AT YAPHANK NY","ST",404948.6,725422.1,40.83016667,-72.90613889,"N","1","NAD83","NAD83","36","36","103","US",NA,"BELLPORT, NY","  24000",17.95,"L",0.01,"NGVD29","02030202",NA,NA,"YNYNNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,NA,73.1,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01305500","SWAN RIVER AT EAST PATCHOGUE NY","ST",404602.1,725937.8,40.76725,-72.9938333,"N","1","NAD83","NAD83","36","36","103","US",NA,"BELLPORT, NY","  24000",2.84,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8.07,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01306000","PATCHOGUE RIVER AT PATCHOGUE NY","ST",404556,730114,40.76555556,-73.0205556,"M","S","NAD83","NAD83","36","36","103","US",NA,"PATCHOGUE, NY","  24000",0.5,"L",0.01,"NGVD29","02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,13.4,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01306495","CONNETQUOT RIVER DISTRIBUTORY NEAR OAKDALE NY","ST",404500,730853,40.7500982,-73.1476133,"M","S","NAD27","NAD83","36","36","103","US",NA,"CENTRAL ISLIP, NY",NA,NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19970619,27.66,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01306499","CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY","ST",404451,730903,40.74759826,-73.1503912,"M","S","NAD27","NAD83","36","36","103","US",NA,"BAY SHORE EAST, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01307000","CHAMPLIN CREEK AT ISLIP NY","ST",404413,731206,40.73694444,-73.2016667,"M","S","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE EAST, NY","  24000",10.85,"L",0.01,"NGVD29","02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,5.18,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01307500","PENATAQUIT CREEK AT BAY SHORE NY","ST",404337,731439,40.72694444,-73.2441667,"M","S","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE EAST, NY","  24000",6.64,"L",0.01,"NGVD29","02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,5.25,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01308000","SAMPAWAMS CREEK AT BABYLON NY","ST",404215.7,731849.1,40.7043611,-73.31363889,"N","1","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE WEST, NY","  24000",6.36,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,22.7,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01308500","CARLLS RIVER AT BABYLON NY","ST",404232.3,731943.7,40.7089722,-73.3288056,"N","1","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE WEST, NY","  24000",10.63,"L",0.01,"NGVD29","02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,35.4,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01309500","MASSAPEQUA CREEK AT MASSAPEQUA NY","ST",404120.4,732719.4,40.689,-73.45538889,"N","1","NAD83","NAD83","36","36","059","US",NA,"AMITYVILLE, NY","  24000",18.31,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,38.6,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01309950","BELLMORE CREEK NEAR BELLMORE NY","ST",404043.2,733057.1,40.67866667,-73.5158611,"N","1","NAD83","NAD83","36","36","059","US",NA,"FREEPORT, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"YNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
