"site_no","station_nm","dec_lat_va","dec_long_va","begin_date","end_date","count_nu","latitude","longitude","begin_date_flow","end_date_flow","nflowdays"
"01311992","ARBUTUS POND OUTLET NEAR NEWCOMB NY",43.9822222,-74.2355556,1992-06-15,2017-09-12,387,43.9822222,-74.2355556,"1990-12-01","1992-04-30",517
"0426545295","SAGAMORE LAKE OUTLET NEAR RAQUETTE LAKE NY",43.7660472,-74.6283694,1992-06-16,2017-09-11,384,43.7660472,-74.6283694,"1977-10-01","1981-12-31",1553
"04256485","WOODS LAKE OUTLET NR BIG MOOSE NY",43.8656583,-74.9551194,1992-06-16,2017-09-15,339,43.8656583,-74.9551194,"1977-10-01","1992-09-29",4440
"04265605","LITTLE SIMON POND OUTLET NR TUPPER LAKE NY",44.16153889,-74.4412972,1992-06-23,2017-07-05,315,44.16153889,-74.4412972,"1984-01-01","1988-05-17",1599
"01305000","CARMANS RIVER AT YAPHANK NY",40.83016667,-72.90613889,1969-05-06,1996-08-12,129,40.83016667,-72.90613889,"1942-06-21","2023-10-06",29687
"04268000","RAQUETTE RIVER AT RAYMONDVILLE NY",44.83888889,-74.97888889,1955-04-26,1992-10-06,120,44.83888889,-74.97888889,"1943-11-29","2023-10-06",28802
"01358000","HUDSON RIVER AT GREEN ISLAND NY",42.7522222,-73.68888889,1963-10-01,1992-11-18,119,42.7522222,-73.68888889,"1946-02-21","2023-10-06",27392
"01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY",40.84991667,-73.2242222,1968-10-21,1996-08-12,109,40.84991667,-73.2242222,"1943-10-01","2022-10-03",28492
"04214500","BUFFALO CREEK AT GARDENVILLE NY",42.8546111,-78.7564167,1951-06-20,2019-11-01,90,42.8546111,-78.7564167,"1938-10-01","2023-10-06",29225
"01310500","EAST MEADOW BROOK AT FREEPORT NY",40.66563889,-73.5700833,1973-11-02,1992-10-20,88,40.66563889,-73.5700833,"1937-01-01","2023-10-06",28686
"01309500","MASSAPEQUA CREEK AT MASSAPEQUA NY",40.689,-73.45538889,1973-11-05,1992-10-20,88,40.689,-73.45538889,"1936-12-12","2023-10-06",28650
"04230500","OATKA CREEK AT GARBUTT NY",43.01,-77.79138889,1954-04-08,1990-11-05,88,43.01,-77.79138889,"1945-10-01","2023-10-06",28495
"01303000","MILL NECK CREEK AT MILL NECK NY",40.88741667,-73.5631944,1973-11-02,1992-10-14,86,40.88741667,-73.5631944,"1937-01-15","2023-10-06",28704
"01304500","PECONIC RIVER AT RIVERHEAD NY",40.91369444,-72.6869444,1973-12-28,1996-08-12,82,40.91369444,-72.6869444,"1942-06-21","2023-10-06",29693
"01306499","CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY",40.74759826,-73.1503912,1967-02-14,1996-08-19,81,40.74759826,-73.1503912,"1979-08-22","2015-09-29",13188
"01356000","MOHAWK RIVER AT VISCHER FERRY DAM NY",42.80419444,-73.8476667,1951-10-01,1975-05-19,79,42.80419444,-73.8476667,"1915-10-01","1919-09-29",1460
"01308500","CARLLS RIVER AT BABYLON NY",40.7089722,-73.3288056,1969-05-13,1996-08-19,78,40.7089722,-73.3288056,"1944-10-01","2022-10-02",28491
"01307000","CHAMPLIN CREEK AT ISLIP NY",40.73694444,-73.2016667,1965-10-17,1996-08-19,76,40.73694444,-73.2016667,"1948-06-29","1969-09-29",7763
"01307500","PENATAQUIT CREEK AT BAY SHORE NY",40.72694444,-73.2441667,1974-01-07,1996-08-19,74,40.72694444,-73.2441667,"1945-08-22","1976-09-29",11362
"01306000","PATCHOGUE RIVER AT PATCHOGUE NY",40.76555556,-73.0205556,1969-05-15,1996-08-12,74,40.76555556,-73.0205556,"1945-10-01","1976-09-29",9860
"01308000","SAMPAWAMS CREEK AT BABYLON NY",40.7043611,-73.31363889,1974-01-08,1996-08-19,73,40.7043611,-73.31363889,"1944-10-01","2023-10-06",28495
"01305500","SWAN RIVER AT EAST PATCHOGUE NY",40.76725,-72.9938333,1974-01-07,1996-08-12,73,40.76725,-72.9938333,"1946-10-01","2023-10-06",28122
"01309000","SANTAPOGUE CREEK AT LINDENHURST NY",40.69166667,-73.355,1974-01-08,1996-08-19,73,40.69166667,-73.355,"1947-06-24","1969-09-29",8134
"01509150","GRIDLEY CREEK ABOVE EAST VIRGIL NY",42.5011111,-76.1269444,1974-12-16,1980-12-09,70,42.5011111,-76.1269444,"1974-07-01","1981-09-29",2648
"04260500","BLACK RIVER AT WATERTOWN NY",43.9858333,-75.9246111,1952-03-28,1992-10-14,67,43.9858333,-75.9246111,"1920-07-18","2023-10-06",37701
"01335770","HUDSON RIVER AT WATERFORD NY",42.7886889,-73.6740069,1952-01-23,1991-08-28,67,42.7886889,-73.6740069,"1969-04-07","2003-09-30",652
"01425675","OQUAGA CREEK NEAR NORTH SANFORD NY",42.17444444,-75.44,1974-03-21,1981-08-25,65,42.17444444,-75.44,"1969-10-01","1981-09-29",4382
"01359560","HUDSON RIVER AT GLENMONT NY",42.59535778,-73.76151,1973-10-10,1991-07-31,65,42.59535778,-73.76151,"1974-10-07","1979-09-11",52
"01372500","WAPPINGER CREEK NEAR WAPPINGERS FALLS NY",41.65305556,-73.8725,1959-07-15,1975-05-07,64,41.65305556,-73.8725,"1928-08-07","2023-10-06",34759
"04213500","CATTARAUGUS CREEK AT GOWANDA NY",42.46344444,-78.9345278,1956-08-13,2019-11-01,64,42.46344444,-78.9345278,"1939-11-09","2023-10-06",30099
"01302500","GLEN COVE CREEK AT GLEN COVE NY",40.8633333,-73.6341667,1974-01-02,1992-10-15,62,40.8633333,-73.6341667,"1938-10-01","2010-09-29",24407
"01309950","BELLMORE CREEK NEAR BELLMORE NY",40.67866667,-73.5158611,1974-01-15,1992-10-20,61,40.67866667,-73.5158611,"1972-10-01","2023-10-06",15170
"04231000","BLACK CREEK AT CHURCHVILLE NY",43.10055556,-77.8822222,1954-04-08,1975-05-22,59,43.10055556,-77.8822222,"1945-10-01","2023-10-06",28494
"01531000","CHEMUNG RIVER AT CHEMUNG NY",42.0022222,-76.6347222,1953-04-22,1991-07-16,57,42.0022222,-76.6347222,"1903-09-07","2023-10-06",43519
"01351500","SCHOHARIE CREEK AT BURTONSVILLE NY",42.80002778,-74.26277778,1959-10-01,1991-08-26,53,42.80002778,-74.26277778,"1939-10-01","2023-10-06",30687
"01426500","WEST BRANCH DELAWARE RIVER AT HALE EDDY NY",42.00302778,-75.38352778,1954-04-07,1988-10-17,50,42.00302778,-75.38352778,"1912-11-15","2023-10-06",40487
"01311000","PINES BROOK AT MALVERNE NY",40.66638889,-73.6591667,1974-01-15,1992-10-15,50,40.66638889,-73.6591667,"1937-01-01","1999-01-31",22470
"01362198","ESOPUS CREEK AT SHANDAKEN NY",42.11647855,-74.38848279,1963-08-20,1992-08-04,49,42.11647855,-74.38848279,"1963-10-01","1988-09-29",9131
"01421000","EAST BRANCH DELAWARE RIVER AT FISHS EDDY NY",41.97327778,-75.1747222,1954-04-06,1988-07-18,48,41.97327778,-75.1747222,"1912-11-19","2023-10-06",40447
"01373500","FISHKILL CREEK AT BEACON NY",41.5118611,-73.94813889,1959-07-15,1975-05-14,44,41.5118611,-73.94813889,"1944-10-01","1968-09-29",8765
"01357500","MOHAWK RIVER AT COHOES NY",42.78538889,-73.70777778,1951-07-26,2016-07-25,43,42.78538889,-73.70777778,"1917-12-01","2023-10-06",38661
"01520500","TIOGA RIVER AT LINDLEY NY",42.0286111,-77.1322222,1973-09-05,1991-07-16,42,42.0286111,-77.1322222,"1930-01-11","2023-10-06",28940
"01357000","MOHAWK RIVER AT CRESCENT DAM NY",42.8061111,-73.72277778,1973-10-02,1977-07-28,42,42.8061111,-73.72277778,"1969-04-07","1978-08-23",128
"01354160","MOHAWK R  AT LOCK 10 AT CRANESVILLE NY",42.91813037,-74.1417957,1973-10-10,1977-07-28,42,42.91813037,-74.1417957,"1974-10-07","1979-08-27",50
"01354490","MOHAWK RIVER AT SCHENECTADY NY",42.81979865,-73.9492912,1973-10-10,1977-07-28,41,42.81979865,-73.9492912,"1974-10-07","1981-09-02",74
"04218700","ERIE(BARGE)CANAL(W OF GENESEE R)AT ROCHESTER NY",43.1256111,-77.6501111,1958-10-06,1962-09-01,37,43.1256111,-77.6501111,"2021-05-04","2023-10-07",886
"04269500","DEER RIVER AT BRASHER IRON WORKS NY",44.89277778,-74.6916667,1955-04-27,1975-05-14,36,44.89277778,-74.6916667,"1912-10-01","1968-09-29",5112
