"agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu"
"USGS","01199400","WEBATUCK CREEK NEAR SOUTH AMENIA NY","ST",41.7808333,-73.55527778,"S","NAD83",NA,NA,NA,"01100005","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-07-12,1966-07-12,1
"USGS","01199490","SWAMP RIVER NEAR DOVER PLAINS NY","ST",41.69888889,-73.5836111,"S","NAD83",370,10,"NGVD29","01100005","dv","00060","00003","104537",NA,"wat",NA,"1645423","0",1961-05-01,1968-09-29,1923
"USGS","01199490","SWAMP RIVER NEAR DOVER PLAINS NY","ST",41.69888889,-73.5836111,"S","NAD83",370,10,"NGVD29","01100005","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-07-13,1966-07-13,1
"USGS","01200000","TENMILE RIVER NEAR GAYLORDSVILLE, CT","ST",41.65876389,-73.5286833,"H","NAD83",304,5,"NGVD29","01100005","dv","00060","00003","64947",NA,"wat",NA,"1645423","0",1930-10-01,2023-10-06,32671
"USGS","01200000","TENMILE RIVER NEAR GAYLORDSVILLE, CT","ST",41.65876389,-73.5286833,"H","NAD83",304,5,"NGVD29","01100005","uv","00060",NA,"67080",NA,"wat",NA,"1645423","0",1991-10-01,2023-10-07,11694
"USGS","01209795","TRINITY LAKE RES NR POND RIDGE NY","ST",41.21453999,-73.55456978,"S","NAD83",NA,NA,NA,"01100006","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1962-04-25,1962-04-25,1
"USGS","01300000","BLIND BROOK AT RYE NY","ST",40.9833333,-73.6869444,"S","NAD83",13.05,0.01,"NGVD29","01100006","dv","00060","00003","104538",NA,"wat",NA,"1645423","0",1944-10-01,1989-09-29,16435
"USGS","01300000","BLIND BROOK AT RYE NY","ST",40.9833333,-73.6869444,"S","NAD83",13.05,0.01,"NGVD29","01100006","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1971-09-14,1972-06-20,2
"USGS","01300500","BEAVER SWAMP BROOK AT MAMARONECK NY","ST",40.9586111,-73.7161667,"1","NAD83",24.99,0.01,"NGVD29","02030102","dv","00060","00003","104539",NA,"wat",NA,"1645423","0",1944-10-01,1989-09-29,16435
"USGS","01300500","BEAVER SWAMP BROOK AT MAMARONECK NY","ST",40.9586111,-73.7161667,"1","NAD83",24.99,0.01,"NGVD29","02030102","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1971-06-30,1972-06-21,5
"USGS","01301000","MAMARONECK RIVER AT MAMARONECK NY","ST",40.9543333,-73.7345833,"1","NAD83",11.46,0.01,"NGVD29","02030102","dv","00060","00003","104540",NA,"wat",NA,"1645423","0",1944-10-01,1989-09-29,15704
"USGS","01301000","MAMARONECK RIVER AT MAMARONECK NY","ST",40.9543333,-73.7345833,"1","NAD83",11.46,0.01,"NGVD29","02030102","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1971-06-02,1972-06-20,5
"USGS","01301500","HUTCHINSON RIVER AT PELHAM NY","ST",40.9111111,-73.8133333,"S","NAD83",12.92,0.01,"NGVD29","02030102","dv","00060","00003","104541",NA,"wat",NA,"1645423","0",1944-10-01,2013-04-30,17843
"USGS","01301500","HUTCHINSON RIVER AT PELHAM NY","ST",40.9111111,-73.8133333,"S","NAD83",12.92,0.01,"NGVD29","02030102","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1972-06-19,1972-06-19,1
"USGS","01301500","HUTCHINSON RIVER AT PELHAM NY","ST",40.9111111,-73.8133333,"S","NAD83",12.92,0.01,"NGVD29","02030102","uv","00060",NA,"106405",NA,"wat",NA,"1645423","0",2009-06-23,2013-05-01,1408
"USGS","01302000","BRONX RIVER AT BRONXVILLE NY","ST",40.9358333,-73.8355556,"S","NAD83",73.74,0.01,"NGVD29","02030102","dv","00060","00003","104542",NA,"wat",NA,"1645423","0",1944-10-01,1989-09-29,16435
"USGS","01302000","BRONX RIVER AT BRONXVILLE NY","ST",40.9358333,-73.8355556,"S","NAD83",73.74,0.01,"NGVD29","02030102","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1970-04-03,1972-06-21,4
"USGS","01302020","BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY","ST",40.86230556,-73.87438889,"1","NAD83",49.86,0.08,"NAVD88","02030102","dv","00060","00003","104543",NA,"wat",NA,"1645423","0",2006-08-15,2023-10-06,6262
"USGS","01302020","BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY","ST",40.86230556,-73.87438889,"1","NAD83",49.86,0.08,"NAVD88","02030102","uv","00060",NA,"106410",NA,"wat",NA,"1645423","0",2007-10-01,2023-10-07,5850
"USGS","01302050","ALLEY CREEK NEAR OAKLAND GARDENS NY","ST",40.7558333,-73.7458333,"S","NAD83",NA,NA,NA,"02030201","dv","00060","00003","104544",NA,"wat",NA,"1645423","0",1993-06-01,2013-04-30,6970
"USGS","01302050","ALLEY CREEK NEAR OAKLAND GARDENS NY","ST",40.7558333,-73.7458333,"S","NAD83",NA,NA,NA,"02030201","uv","00060",NA,"106414",NA,"wat",NA,"1645423","0",2007-10-01,2013-04-30,2038
"USGS","01302125","GABBLERS CREEK AT LITTLE NECK NY","ST",40.77316667,-73.7443333,"1","NAD83",10,10,"NGVD29","02030201","dv","00060","00003","104545",NA,"wat",NA,"1645423","0",1998-12-01,2011-09-29,4382
"USGS","01302125","GABBLERS CREEK AT LITTLE NECK NY","ST",40.77316667,-73.7443333,"1","NAD83",10,10,"NGVD29","02030201","uv","00060",NA,"261985",NA,"wat",NA,"1645423","0",2008-09-25,2010-12-09,805
"USGS","01302200","WHITNEY LAKE OUTLET AT MANHASSET, N.Y.","ST",40.79176779,-73.7079085,"S","NAD83",NA,NA,NA,"02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-12,1966-05-12,1
"USGS","01302500","GLEN COVE CREEK AT GLEN COVE NY","ST",40.8633333,-73.6341667,"S","NAD83",15.68,0.01,"NGVD29","02030201","dv","00060","00003","104563",NA,"wat",NA,"1645423","0",1938-10-01,2010-09-29,24407
"USGS","01302500","GLEN COVE CREEK AT GLEN COVE NY","ST",40.8633333,-73.6341667,"S","NAD83",15.68,0.01,"NGVD29","02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-06,1986-09-03,30
"USGS","01302800","ISLAND SWAMP BROOK AT LATTINGTOWN, N.Y.","ST",40.89037679,-73.6190158,"S","NAD83",NA,NA,NA,"02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-06,1966-05-06,1
"USGS","01303000","MILL NECK CREEK AT MILL NECK NY","ST",40.88741667,-73.5631944,"1","NAD83",6.49,0.01,"NGVD29","02030201","dv","00060","00003","104598",NA,"wat",NA,"1645423","0",1937-01-15,2023-10-06,28704
"USGS","01303000","MILL NECK CREEK AT MILL NECK NY","ST",40.88741667,-73.5631944,"1","NAD83",6.49,0.01,"NGVD29","02030201","qw","00060",NA,"0",NA,"oth","PHY","1645423","0",1971-05-21,1971-05-21,1
"USGS","01303000","MILL NECK CREEK AT MILL NECK NY","ST",40.88741667,-73.5631944,"1","NAD83",6.49,0.01,"NGVD29","02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-06,1986-09-03,64
"USGS","01303000","MILL NECK CREEK AT MILL NECK NY","ST",40.88741667,-73.5631944,"1","NAD83",6.49,0.01,"NGVD29","02030201","uv","00060",NA,"201840",NA,"wat",NA,"1645423","0",2007-10-01,2023-10-07,5850
"USGS","01303500","COLD SPRING BROOK AT COLD SPRING HARBOR NY","ST",40.85716667,-73.4635556,"1","NAD83",5.38,0.01,"NGVD29","02030201","dv","00060","00003","104599",NA,"wat",NA,"1645423","0",1950-07-01,2023-10-06,26761
"USGS","01303500","COLD SPRING BROOK AT COLD SPRING HARBOR NY","ST",40.85716667,-73.4635556,"1","NAD83",5.38,0.01,"NGVD29","02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-06,1975-03-26,26
"USGS","01303500","COLD SPRING BROOK AT COLD SPRING HARBOR NY","ST",40.85716667,-73.4635556,"1","NAD83",5.38,0.01,"NGVD29","02030201","uv","00060",NA,"106444",NA,"wat",NA,"1645423","0",2007-10-01,2023-10-07,5850
"USGS","01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY","ST",40.84991667,-73.2242222,"1","NAD83",9.59,0.01,"NGVD29","02030201","dv","00060","00003","104600",NA,"wat",NA,"1645423","0",1943-10-01,2022-10-03,28492
"USGS","01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY","ST",40.84991667,-73.2242222,"1","NAD83",9.59,0.01,"NGVD29","02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1967-02-13,1986-09-08,32
"USGS","01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY","ST",40.84991667,-73.2242222,"1","NAD83",9.59,0.01,"NGVD29","02030201","uv","00060",NA,"106448",NA,"wat",NA,"1645423","0",2007-10-01,2022-10-04,5482
"USGS","01304098","WADING RIVER NEAR WILDWOOD, N.Y.","ST",40.9548206,-72.8512128,"S","NAD83",NA,NA,NA,"02030201","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-17,1966-05-17,1
"USGS","01304260","EAST CREEK AT JAMESPORT, N.Y.","ST",40.9456555,-72.5698129,"S","NAD83",NA,NA,NA,"02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-13,1966-05-13,1
"USGS","01304400","PECONIC RIVER NEAR MANORVILLE, N.Y.","ST",40.87732077,-72.8278795,"S","NAD83",NA,NA,NA,"02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-17,1966-05-17,1
"USGS","01304499","PECONIC RIVER NEAR RIVERHEAD, N.Y.","ST",40.91398774,-72.687597,"S","NAD83",NA,NA,NA,"02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-13,1966-05-13,1
"USGS","01304500","PECONIC RIVER AT RIVERHEAD NY","ST",40.91369444,-72.6869444,"1","NAD83",6.54,0.01,"NGVD29","02030202","dv","00060","00003","104691",NA,"wat",NA,"1645423","0",1942-06-21,2023-10-06,29693
"USGS","01304500","PECONIC RIVER AT RIVERHEAD NY","ST",40.91369444,-72.6869444,"1","NAD83",6.54,0.01,"NGVD29","02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-13,1975-06-04,32
"USGS","01304500","PECONIC RIVER AT RIVERHEAD NY","ST",40.91369444,-72.6869444,"1","NAD83",6.54,0.01,"NGVD29","02030202","uv","00060",NA,"106496",NA,"wat",NA,"1645423","0",2007-10-01,2023-10-07,5850
"USGS","01304530","LITTLE RIVER NEAR RIVERHEAD NY","ST",40.8978768,-72.6745409,"S","NAD83",NA,NA,NA,"02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-13,1966-05-13,1
"USGS","01304560","WHITE BROOK AT RIVERHEAD NY","ST",40.90287707,-72.6431504,"S","NAD83",NA,NA,NA,"02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-13,1973-03-13,2
"USGS","01304570","MILL CREEK NEAR FLANDERS NY","ST",40.8945443,-72.5775918,"S","NAD83",NA,NA,NA,"02030202","qw","00060",NA,"0",NA,"wat","PHY","1645423","0",1966-05-11,1966-05-11,1
