"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"USGS","01304000",1977-07-15,"11:00",NA,NA,"T","NY-SCDEC","WS","ANNUALRPT",NA,NA,NA,"A","9","9",NA,"00666",NA,0.013,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1977-07-15 16:00:00,NA,"UTC"
"USGS","01304000",1977-10-05,"11:00",NA,NA,"T","NY-SCDEC","WS","ANNUALRPT",NA,NA,NA,"A","9","9",NA,"00666",NA,0.003,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1977-10-05 16:00:00,NA,"UTC"
"USGS","01304000",1977-12-27,NA,NA,NA,"T","NY-SCDEC","WS","ANNUALRPT",NA,NA,NA,"A","9","9",NA,"00666",NA,0.009,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",NA,NA,"UTC"
"USGS","01304000",1978-01-31,"10:15",NA,NA,"T","USGS-WRD","WS","NASQAN",NA,NA,NA,"A","9","9",NA,"00666",NA,0.02,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1978-01-31 15:15:00,NA,"UTC"
"USGS","01304000",1978-03-21,"10:00",NA,NA,"T","USGS-WRD","WS","NASQAN",NA,NA,NA,"A","9","9",NA,"00666","<",0.01,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1978-03-21 15:00:00,NA,"UTC"
"USGS","01304000",1978-03-30,NA,NA,NA,"T","NY-SCDEC","WS","ANNUALRPT",NA,NA,NA,"A","9","9",NA,"00666",NA,0.009,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",NA,NA,"UTC"
"USGS","01304000",1978-05-02,"09:00",NA,NA,"T","USGS-WRD","WS","NASQAN",NA,NA,NA,"A","9","9",NA,"00666","<",0.01,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1978-05-02 14:00:00,NA,"UTC"
"USGS","01304000",1978-06-06,"07:45",NA,NA,"T","USGS-WRD","WS","NASQAN",NA,NA,NA,"A","9","9",NA,"00666",NA,0.01,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1978-06-06 12:45:00,NA,"UTC"
"USGS","01304000",1978-06-27,"07:45",NA,NA,"T","USGS-WRD","WS","NASQAN",NA,NA,NA,"A","9","9",NA,"00666","<",0.01,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1978-06-27 12:45:00,NA,"UTC"
"USGS","01304000",1978-06-29,NA,NA,NA,"T","NY-SCDEC","WS","ANNUALRPT",NA,NA,NA,"A","9","9",NA,"00666",NA,0.012,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",NA,NA,"UTC"
