"agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no"
"USGS","01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY","ST",405059.7,731327.2,40.84991667,-73.2242222,"N","1","NAD83","NAD83","36","36","103","US",NA,"CENTRAL ISLIP, NY","  24000",9.59,"L",0.01,"NGVD29","02030201",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,27,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,"RBUSCIOLANO"
"USGS","01304500","PECONIC RIVER AT RIVERHEAD NY","ST",405449.3,724113,40.91369444,-72.6869444,"N","1","NAD83","NAD83","36","36","103","US",NA,"RIVERHEAD, NY","  24000",6.54,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,74.7,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01305000","CARMANS RIVER AT YAPHANK NY","ST",404948.6,725422.1,40.83016667,-72.90613889,"N","1","NAD83","NAD83","36","36","103","US",NA,"BELLPORT, NY","  24000",17.95,"L",0.01,"NGVD29","02030202",NA,NA,"YNYNNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,NA,73.1,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01305500","SWAN RIVER AT EAST PATCHOGUE NY","ST",404602.1,725937.8,40.76725,-72.9938333,"N","1","NAD83","NAD83","36","36","103","US",NA,"BELLPORT, NY","  24000",2.84,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8.07,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01306499","CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY","ST",404451,730903,40.74759826,-73.1503912,"M","S","NAD27","NAD83","36","36","103","US",NA,"BAY SHORE EAST, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01308000","SAMPAWAMS CREEK AT BABYLON NY","ST",404215.7,731849.1,40.7043611,-73.31363889,"N","1","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE WEST, NY","  24000",6.36,"L",0.01,"NGVD29","02030202",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,22.7,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01308500","CARLLS RIVER AT BABYLON NY","ST",404232.3,731943.7,40.7089722,-73.3288056,"N","1","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE WEST, NY","  24000",10.63,"L",0.01,"NGVD29","02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,35.4,NA,"EST","N","M","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01334500","HOOSIC RIVER NEAR EAGLE BRIDGE NY","ST",425618.9,732237,42.9385833,-73.3769444,"N","1","NAD83","NAD83","36","36","083","US",NA,"EAGLE BRIDGE, NY","  24000",354.79,"X",0.01,"NAVD88","02020003",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,510,510,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01349150","CANAJOHARIE CREEK NEAR CANAJOHARIE NY","ST",425234.6,743610.3,42.87627778,-74.6028611,"M","1","NAD83","NAD83","36","36","057","US",NA,"CANAJOHARIE, NY","  24000",635.23,"X",0.01,"NAVD88","02020004",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19920622,59.7,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"NAWQA"
"USGS","01349711","WEST KILL BELOW HUNTER BROOK NEAR SPRUCETON NY","ST",421106.2,741637.6,42.18505556,-74.2771111,"N","1","NAD83","NAD83","36","36","039","US",NA,"LEXINGTON, NY","  24000",2038.89,"X",0.01,"NAVD88","02020005",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4.97,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01349840","BATAVIA KILL NEAR MAPLECREST NY","ST",421722.7,740658.6,42.28963889,-74.11627778,"N","1","NAD83","NAD83","36","36","039","US",NA,"FREEHOLD, NY","  24000",NA,NA,NA,NA,"02020005",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2.03,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01349950","BATAVIA KILL AT RED FALLS NEAR PRATTSVILLE NY","ST",421830,742324,42.3083333,-74.39,"M","S","NAD83","NAD83","36","36","039","US",NA,"PRATTSVILLE, NY","  24000",1268.54,"X",0.01,"NAVD88","02020005",NA,NA,"NNYNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,68.6,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01356190","LISHA KILL NORTHWEST OF NISKAYUNA NY","ST",424701,735124,42.7836111,-73.8566667,"M","S","NAD83","NAD83","36","36","093","US",NA,"NISKAYUNA, NY","  24000",238.78,"D",0.01,"NGVD29","02020004",NA,NA,"YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19930405,16.2,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"NAWQA"
"USGS","01357500","MOHAWK RIVER AT COHOES NY","ST",424707.4,734228,42.78538889,-73.70777778,"N","1","NAD83","NAD83","36","36","001","US",NA,"TROY NORTH, NY","  24000",48.47,"L",0.01,"NAVD88","02020004",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3450,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01358000","HUDSON RIVER AT GREEN ISLAND NY","ST",424508,734120,42.7522222,-73.68888889,"M","S","NAD83","NAD83","36","36","001","US",NA,"TROY NORTH, NY","  24000",-0.92,"L",0.01,"NAVD88","02020003",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8090,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","01361200","CLAVERACK CREEK AT CLAVERACK NY","ST",421258.5,734349,42.21625,-73.73027778,"N","1","NAD83","NAD83","36","36","021","US",NA,"CLAVERACK, NY","  24000",139.77,"L",0.01,"NGVD29","02020006",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,60.6,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","013621955","BIRCH CREEK AT BIG INDIAN NY","ST",420632,742707,42.10888889,-74.4519444,"M","S","NAD83","NAD83","36","36","111","US",NA,"SHANDAKEN, NY","  24000",1227.42,"X",0.01,"NAVD88","02020006",NA,NA,"NNYNYNYNNYNNNNNNNNNNNNNNNNNNNN",NA,NA,12.5,NA,"EST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
