"site_no","station_nm","dec_lat_va","dec_long_va","begin_date","end_date","count_nu","latitude","longitude","begin_date_flow","end_date_flow","nflowdays"
"01435000","NEVERSINK RIVER NEAR CLARYVILLE NY",41.88994444,-74.5898056,1998-06-12,2011-04-12,578,41.88994444,-74.5898056,"1937-11-01","2023-10-06",30604
"01434025","BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY",41.9960833,-74.5002222,1992-11-19,2011-04-12,566,41.9960833,-74.5002222,"1983-06-08","2023-10-06",14731
"01421618","TOWN BROOK SOUTHEAST OF HOBART NY",42.3611111,-74.6622222,1999-01-22,2009-09-29,560,42.3611111,-74.6622222,"1997-10-01","2023-10-06",9502
"0143400680","E BR NEVERSINK R NORTHEAST OF DENNING NY",41.96694444,-74.4480556,1999-01-04,2011-04-12,553,41.96694444,-74.4480556,"1990-10-01","2023-10-06",9686
"01434021","W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY",42.0111111,-74.4144444,1998-06-12,2011-04-12,522,42.0111111,-74.4144444,"1991-01-01","2023-10-06",9604
"01421614","TOWN BROOK TRIBUTARY SOUTHEAST OF HOBART NY",42.34944444,-74.6111111,1999-01-05,2009-09-29,467,42.34944444,-74.6111111,"1998-10-01","2009-06-29",3925
"01422747","EAST BROOK EAST OF WALTON NY",42.17266667,-75.1219167,1999-10-07,2009-09-30,457,42.17266667,-75.1219167,"1998-10-01","2023-10-06",7612
"01349950","BATAVIA KILL AT RED FALLS NEAR PRATTSVILLE NY",42.3083333,-74.39,1999-10-07,2009-09-29,440,42.3083333,-74.39,"1997-10-01","2023-10-07",9502
"01349840","BATAVIA KILL NEAR MAPLECREST NY",42.28963889,-74.11627778,1998-03-30,2009-09-29,437,42.28963889,-74.11627778,"1997-10-01","2009-06-29",4290
"01362342","HOLLOW TREE BROOK AT LANESVILLE NY",42.1422222,-74.265,1998-01-04,2011-08-30,415,42.1422222,-74.265,"1997-10-01","2023-10-06",9502
"01422738","WOLF CREEK AT MUNDALE NY",42.25944444,-75.0419444,1999-10-07,2009-09-30,408,42.25944444,-75.0419444,"1998-10-01","2009-06-29",3925
"01349150","CANAJOHARIE CREEK NEAR CANAJOHARIE NY",42.87627778,-74.6028611,1993-04-06,2023-07-25,380,42.87627778,-74.6028611,"1993-03-27","2023-10-06",11151
"01362380","STONY CLOVE CREEK NEAR PHOENICIA NY",42.09814568,-74.31709199,1999-10-07,2007-09-10,315,42.09814568,-74.31709199,"1997-02-01","2007-08-06",3839
"04264331","ST. LAWRENCE R AT CORNWALL ONT NR MASSENA NY",45.0061111,-74.795,1977-11-28,2023-06-21,291,45.0061111,-74.795,"1935-10-01","2023-04-30",31989
"01362465","BEAVER KILL TRIBUTARY ABOVE LAKE HILL NY",42.08305556,-74.1830556,2001-02-27,2006-10-04,256,42.08305556,-74.1830556,"2000-07-27","2010-09-29",3717
"01305000","CARMANS RIVER AT YAPHANK NY",40.83016667,-72.90613889,1977-07-14,2022-09-08,169,40.83016667,-72.90613889,"1942-06-21","2023-10-06",29687
"01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY",40.84991667,-73.2242222,1977-07-15,2022-09-07,165,40.84991667,-73.2242222,"1943-10-01","2022-10-03",28492
"04240150","SPAFFORD CREEK AT SAWMILL RD AT OTISCO VALLEY NY",42.8258333,-76.23527778,1981-10-28,2008-12-10,164,42.8258333,-76.23527778,"1981-11-01","1986-09-29",986
"01362370","STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY",42.10202778,-74.31088889,2007-08-23,2011-08-30,133,42.10202778,-74.31088889,"1997-02-01","2023-10-06",9744
