"site_no","station_nm","dec_lat_va","dec_long_va","begin_date","end_date","count_nu","latitude","longitude","begin_date_flow","end_date_flow","nflowdays"
"0423205010","IRONDEQUOIT CR ABOVE BLOSSOM RD NEAR ROCHESTER NY",43.145,-77.5119444,1980-08-30,2020-12-25,3733,43.145,-77.5119444,"1980-12-01","2023-10-06",15650
"431510077363501","Genesee R. at Charlotte Pump Sta, Rochester, NY",43.2528396,-77.6094464,1989-10-02,2020-12-07,3165,43.2528396,-77.6094464,"1989-10-02","2012-07-03",3011
"0423205025","IRONDEQUOIT CREEK AT EMPIRE BLVD, ROCHESTER NY",43.1758333,-77.5261111,1989-09-28,2010-02-16,2045,43.1758333,-77.5261111,"1990-06-28","2002-12-31",4570
"04232050","ALLEN CREEK NEAR ROCHESTER NY",43.12802778,-77.527,1979-12-12,2015-03-02,1373,43.12802778,-77.527,"1959-12-01","2023-10-06",23321
"0422026250","NORTHRUP CREEK AT NORTH GREECE NY",43.2538611,-77.7420833,1989-09-29,2020-11-30,1112,43.2538611,-77.7420833,"1989-10-01","2023-10-06",12424
"04230500","OATKA CREEK AT GARBUTT NY",43.01,-77.79138889,1989-03-22,2020-12-25,854,43.01,-77.79138889,"1945-10-01","2023-10-06",28495
"04231000","BLACK CREEK AT CHURCHVILLE NY",43.10055556,-77.8822222,1971-07-23,2020-12-02,793,43.10055556,-77.8822222,"1945-10-01","2023-10-06",28494
"04229500","HONEOYE CREEK AT HONEOYE FALLS NY",42.9572222,-77.58888889,1998-04-06,2020-12-25,736,42.9572222,-77.58888889,"1945-10-01","2023-10-06",27763
"04226000","KESHEQUA CR AT CRAIG COLONY AT SONYEA NY",42.6824722,-77.8286944,2016-05-02,2023-08-09,708,42.6824722,-77.8286944,"1917-10-01","2023-10-06",9286
"04232040","IRONDEQUOIT CREEK NEAR PITTSFORD NY",43.05416667,-77.4908333,1980-07-02,1991-04-22,707,43.05416667,-77.4908333,"1980-03-01","1991-05-08",4086
"04232046","THOMAS CREEK AT FAIRPORT NY",43.1061111,-77.4619444,1980-07-02,1989-09-14,707,43.1061111,-77.4619444,"1980-03-01","1990-02-21",3645
"0423205023","IRONDEQUOIT CR AT LANDFILL AT ROCHESTER NY",43.1661111,-77.5319444,1997-09-22,2002-11-25,575,43.1661111,-77.5319444,"1981-03-01","1983-11-09",983
"04232034","IRONDEQUOIT CR AT RAILROAD MILLS NEAR FISHERS NY",43.0278333,-77.4787222,1991-11-27,2011-03-07,477,43.0278333,-77.4787222,"1991-06-26","2023-10-07",11791
"0423204920","EAST BRANCH ALLEN CREEK AT PITTSFORD NY",43.10305556,-77.5333333,1990-10-09,2003-01-06,447,43.10305556,-77.5333333,"1990-04-28","2002-12-31",4631
"04232047","IRONDEQUOIT CR @ LINDEN AVE., E ROCHESTER NY",43.1211111,-77.47638889,1980-08-30,1989-01-09,393,43.1211111,-77.47638889,"1973-07-26","1989-03-21",5718
"01349150","CANAJOHARIE CREEK NEAR CANAJOHARIE NY",42.87627778,-74.6028611,1993-04-06,2023-07-25,387,42.87627778,-74.6028611,"1993-03-27","2023-10-06",11151
"04264331","ST. LAWRENCE R AT CORNWALL ONT NR MASSENA NY",45.0061111,-74.795,1974-01-22,2023-06-21,357,45.0061111,-74.795,"1935-10-01","2023-04-30",31989
"01527050","SWITZER CREEK NEAR COHOCTON NY",42.4911111,-77.4858333,1978-11-20,1980-09-27,244,42.4911111,-77.4858333,"1978-11-01","1980-09-29",699
"01335770","HUDSON RIVER AT WATERFORD NY",42.7886889,-73.6740069,1971-07-07,1996-05-13,236,42.7886889,-73.6740069,"1969-04-07","2003-09-30",652
"430403077311500","TRIB TO BARGE CN TRIB NR PITTSFORD NY",43.067563,-77.5205525,1980-07-02,1981-08-15,202,43.067563,-77.5205525,"1980-07-02","1981-08-15",243
"04260500","BLACK RIVER AT WATERTOWN NY",43.9858333,-75.9246111,1971-07-28,1994-08-09,200,43.9858333,-75.9246111,"1920-07-18","2023-10-06",37701
"430428077261100","0423204541WHITE BK TRIB SOUTHGATE RD NR FAIRPORT",43.07450756,-77.43610398,1980-07-22,1981-08-15,190,43.07450756,-77.43610398,"1980-07-22","1981-08-15",263
"04213500","CATTARAUGUS CREEK AT GOWANDA NY",42.46344444,-78.9345278,1975-07-16,2019-11-01,189,42.46344444,-78.9345278,"1939-11-09","2023-10-06",30099
"424129077495502","NY-TL2 ALFRED TILE EDGE OF FIELD, SONYEA",42.6913611,-77.83188889,2016-05-02,2022-04-28,186,42.6913611,-77.83188889,"2016-04-14","2022-06-07",2245
"424131077495802","NY-TL1 ALFRED TILE EDGE OF FIELD, SONYEA NY",42.6918333,-77.8324722,1980-01-01,2022-04-28,185,42.6918333,-77.8324722,"2016-04-15","2022-06-06",2244
"01357500","MOHAWK RIVER AT COHOES NY",42.78538889,-73.70777778,1978-10-26,2016-07-25,180,42.78538889,-73.70777778,"1917-12-01","2023-10-06",38661
"01305000","CARMANS RIVER AT YAPHANK NY",40.83016667,-72.90613889,1971-07-15,1997-06-18,171,40.83016667,-72.90613889,"1942-06-21","2023-10-06",29687
"01421618","TOWN BROOK SOUTHEAST OF HOBART NY",42.3611111,-74.6622222,1999-01-22,2001-02-11,162,42.3611111,-74.6622222,"1997-10-01","2023-10-06",9502
"424428077495401","NY-SW2 MERRIMAC FARMS EDGE OF FIELD, E GROVELAND",42.7409611,-77.8316667,2015-10-28,2022-03-19,162,42.7409611,-77.8316667,"2015-10-15","2022-05-25",2414
"01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY",40.84991667,-73.2242222,1971-10-08,1997-06-16,154,40.84991667,-73.2242222,"1943-10-01","2022-10-03",28492
"430649077285500","0423204630 IRONDEQUOIT CR TRIB AT E ROCHESTER NY",43.11367407,-77.4816623,1980-07-22,1981-08-11,153,43.11367407,-77.4816623,"1980-08-05","1981-08-11",112
"04219640","NIAGARA RIVER (LAKE ONTARIO) AT FORT NIAGARA NY",43.2694988,-79.064214,1973-06-21,1995-08-10,150,43.2694988,-79.064214,"1973-10-24","1995-08-10",154
"01358000","HUDSON RIVER AT GREEN ISLAND NY",42.7522222,-73.68888889,1970-10-22,1994-08-17,149,42.7522222,-73.68888889,"1946-02-21","2023-10-06",27392
"424421077495301","NY-SW1 MERRIMAC FARMS EDGE OF FIELD, E GROVELAND",42.7392861,-77.8312944,2015-10-28,2022-03-19,148,42.7392861,-77.8312944,"2015-10-15","2022-05-25",2414
"01359560","HUDSON RIVER AT GLENMONT NY",42.59535778,-73.76151,1971-06-29,1991-07-31,144,42.59535778,-73.76151,"1974-10-07","1979-09-11",52
"04232006","GENESEE R AT CHARLOTTE DOCKS AT ROCHESTER NY",43.2239508,-77.616113,1971-12-13,1994-08-11,141,43.2239508,-77.616113,"1970-10-16","1994-08-11",106
"04249000","OSWEGO RIVER AT LOCK 7, OSWEGO NY",43.45166667,-76.50527778,1974-09-26,1994-08-12,132,43.45166667,-76.50527778,"1900-10-01","2023-10-06",34400
"01354490","MOHAWK RIVER AT SCHENECTADY NY",42.81979865,-73.9492912,1971-06-29,1981-09-02,132,42.81979865,-73.9492912,"1974-10-07","1981-09-02",74
"04269000","ST. REGIS RIVER AT BRASHER CENTER NY",44.8637222,-74.7786944,1974-10-15,1992-07-21,130,44.8637222,-74.7786944,"1910-08-22","2023-10-06",40511
"01304500","PECONIC RIVER AT RIVERHEAD NY",40.91369444,-72.6869444,1971-11-12,1997-06-18,122,40.91369444,-72.6869444,"1942-06-21","2023-10-06",29693
"04240150","SPAFFORD CREEK AT SAWMILL RD AT OTISCO VALLEY NY",42.8258333,-76.23527778,1981-09-22,2008-12-10,121,42.8258333,-76.23527778,"1981-11-01","1986-09-29",986
"01309500","MASSAPEQUA CREEK AT MASSAPEQUA NY",40.689,-73.45538889,1971-07-15,2001-04-18,116,40.689,-73.45538889,"1936-12-12","2023-10-06",28650
"01354160","MOHAWK R  AT LOCK 10 AT CRANESVILLE NY",42.91813037,-74.1417957,1971-06-29,1979-08-27,114,42.91813037,-74.1417957,"1974-10-07","1979-08-27",50
"01310500","EAST MEADOW BROOK AT FREEPORT NY",40.66563889,-73.5700833,1971-07-15,2001-04-19,113,40.66563889,-73.5700833,"1937-01-01","2023-10-06",28686
"01331095","HUDSON RIVER AT STILLWATER NY",42.93555556,-73.6516667,1971-07-07,1978-12-06,109,42.93555556,-73.6516667,"1977-03-01","2023-10-07",17022
"0423204140","MILL CR TRIB SITEA-MILL RD NR BUSHNELL BASIN NY",43.06061866,-77.50471848,1994-03-07,2000-11-27,109,43.06061866,-77.50471848,"1995-07-07","2000-09-30",1912
"01357000","MOHAWK RIVER AT CRESCENT DAM NY",42.8061111,-73.72277778,1971-07-07,1978-08-23,109,42.8061111,-73.72277778,"1969-04-07","1978-08-23",128
"01303000","MILL NECK CREEK AT MILL NECK NY",40.88741667,-73.5631944,1971-07-15,1996-05-22,106,40.88741667,-73.5631944,"1937-01-15","2023-10-06",28704
"0423204141","MILL CR TRIB SITEB-MILL RD NR BUSHNELL BASIN NY",43.06061866,-77.5030518,1994-03-07,2000-11-27,105,43.06061866,-77.5030518,"1995-07-06","2000-09-30",1913
"04250750","SANDY CREEK NEAR ADAMS NY",43.81369444,-76.0744444,1978-01-24,1992-08-12,103,43.81369444,-76.0744444,"1957-08-22","2023-10-06",21513
"04230650","GENESEE R AT BALLANTYNE BRIDGE NEAR MORTIMER NY",43.09294444,-77.6808333,2010-10-05,2014-05-13,96,43.09294444,-77.6808333,"2021-03-17","2023-10-07",934
"0424015305","RICE BROOK AT RICE GROVE NY",42.85194444,-76.25888889,1981-09-22,2008-09-11,90,42.85194444,-76.25888889,"1981-11-01","2008-09-29",1625
"04268000","RAQUETTE RIVER AT RAYMONDVILLE NY",44.83888889,-74.97888889,1979-04-11,1994-06-21,82,44.83888889,-74.97888889,"1943-11-29","2023-10-06",28802
"01309950","BELLMORE CREEK NEAR BELLMORE NY",40.67866667,-73.5158611,1971-10-07,2001-04-18,82,40.67866667,-73.5158611,"1972-10-01","2023-10-06",15170
"01435000","NEVERSINK RIVER NEAR CLARYVILLE NY",41.88994444,-74.5898056,1973-07-23,2015-08-13,81,41.88994444,-74.5898056,"1937-11-01","2023-10-06",30604
"01356190","LISHA KILL NORTHWEST OF NISKAYUNA NY",42.7836111,-73.8566667,1993-04-05,2009-11-16,81,42.7836111,-73.8566667,"1993-08-26","2010-09-30",6244
"04240158","WILLOW BROOK NEAR BORODINO NY",42.87441667,-76.3252222,2005-11-03,2008-09-11,76,42.87441667,-76.3252222,"2006-10-01","2008-09-30",730
"01302500","GLEN COVE CREEK AT GLEN COVE NY",40.8633333,-73.6341667,1971-10-08,1996-02-12,75,40.8633333,-73.6341667,"1938-10-01","2010-09-29",24407
"01354000","MOHAWK RIVER AT TRIBES HILL NY",42.9447222,-74.2880556,1973-09-11,1979-08-27,75,42.9447222,-74.2880556,"1974-10-07","1979-08-27",53
"04240145","SPAFFORD CREEK AT BROMLEY RD NR SPAFFORD NY",42.7875,-76.1966667,1981-09-22,2008-12-10,74,42.7875,-76.1966667,"1981-11-01","1983-09-29",698
"04214500","BUFFALO CREEK AT GARDENVILLE NY",42.8546111,-78.7564167,1971-07-23,2019-11-01,68,42.8546111,-78.7564167,"1938-10-01","2023-10-06",29225
