"site_no","station_nm","dec_lat_va","dec_long_va","begin_date","end_date","count_nu","latitude","longitude","begin_date_flow","end_date_flow","nflowdays"
"0423205010","IRONDEQUOIT CR ABOVE BLOSSOM RD NEAR ROCHESTER NY",43.145,-77.5119444,1980-08-30,2023-07-11,3976,43.145,-77.5119444,"1980-12-01","2023-10-06",15650
"431510077363501","Genesee R. at Charlotte Pump Sta, Rochester, NY",43.2528396,-77.6094464,1989-10-02,2020-12-07,3216,43.2528396,-77.6094464,"1989-10-02","2012-07-03",3011
"0423205025","IRONDEQUOIT CREEK AT EMPIRE BLVD, ROCHESTER NY",43.1758333,-77.5261111,1989-09-28,2010-02-16,2096,43.1758333,-77.5261111,"1990-06-28","2002-12-31",4570
"04232050","ALLEN CREEK NEAR ROCHESTER NY",43.12802778,-77.527,1979-12-12,2016-08-01,1807,43.12802778,-77.527,"1959-12-01","2023-10-06",23321
"0422026250","NORTHRUP CREEK AT NORTH GREECE NY",43.2538611,-77.7420833,1989-09-29,2020-11-30,1178,43.2538611,-77.7420833,"1989-10-01","2023-10-06",12424
"04230500","OATKA CREEK AT GARBUTT NY",43.01,-77.79138889,1990-03-20,2020-12-25,871,43.01,-77.79138889,"1945-10-01","2023-10-06",28495
"04232046","THOMAS CREEK AT FAIRPORT NY",43.1061111,-77.4619444,1980-07-02,1989-09-25,834,43.1061111,-77.4619444,"1980-03-01","1990-02-21",3645
"04231000","BLACK CREEK AT CHURCHVILLE NY",43.10055556,-77.8822222,1970-10-21,2020-12-02,830,43.10055556,-77.8822222,"1945-10-01","2023-10-06",28494
"04232040","IRONDEQUOIT CREEK NEAR PITTSFORD NY",43.05416667,-77.4908333,1980-07-02,1991-04-22,825,43.05416667,-77.4908333,"1980-03-01","1991-05-08",4086
"04229500","HONEOYE CREEK AT HONEOYE FALLS NY",42.9572222,-77.58888889,1998-03-30,2020-12-25,791,42.9572222,-77.58888889,"1945-10-01","2023-10-06",27763
"0423204920","EAST BRANCH ALLEN CREEK AT PITTSFORD NY",43.10305556,-77.5333333,1990-10-09,2003-01-06,753,43.10305556,-77.5333333,"1990-04-28","2002-12-31",4631
"04226000","KESHEQUA CR AT CRAIG COLONY AT SONYEA NY",42.6824722,-77.8286944,2016-04-12,2023-08-09,749,42.6824722,-77.8286944,"1917-10-01","2023-10-06",9286
"04232034","IRONDEQUOIT CR AT RAILROAD MILLS NEAR FISHERS NY",43.0278333,-77.4787222,1991-11-27,2011-03-07,728,43.0278333,-77.4787222,"1991-06-26","2023-10-07",11791
"01435000","NEVERSINK RIVER NEAR CLARYVILLE NY",41.88994444,-74.5898056,1973-05-23,2015-08-13,709,41.88994444,-74.5898056,"1937-11-01","2023-10-06",30604
"01434025","BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY",41.9960833,-74.5002222,1985-11-19,2011-04-12,611,41.9960833,-74.5002222,"1983-06-08","2023-10-06",14731
"01421618","TOWN BROOK SOUTHEAST OF HOBART NY",42.3611111,-74.6622222,1999-01-22,2009-09-29,599,42.3611111,-74.6622222,"1997-10-01","2023-10-06",9502
"0143400680","E BR NEVERSINK R NORTHEAST OF DENNING NY",41.96694444,-74.4480556,1999-02-01,2011-04-12,591,41.96694444,-74.4480556,"1990-10-01","2023-10-06",9686
"0423205023","IRONDEQUOIT CR AT LANDFILL AT ROCHESTER NY",43.1661111,-77.5319444,1997-09-22,2002-11-25,577,43.1661111,-77.5319444,"1981-03-01","1983-11-09",983
"01434021","W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY",42.0111111,-74.4144444,1999-01-24,2011-04-12,554,42.0111111,-74.4144444,"1991-01-01","2023-10-06",9604
"01421614","TOWN BROOK TRIBUTARY SOUTHEAST OF HOBART NY",42.34944444,-74.6111111,1999-01-18,2009-09-29,500,42.34944444,-74.6111111,"1998-10-01","2009-06-29",3925
"01422747","EAST BROOK EAST OF WALTON NY",42.17266667,-75.1219167,1999-10-07,2009-09-30,492,42.17266667,-75.1219167,"1998-10-01","2023-10-06",7612
"01349950","BATAVIA KILL AT RED FALLS NEAR PRATTSVILLE NY",42.3083333,-74.39,1999-10-07,2009-09-29,482,42.3083333,-74.39,"1997-10-01","2023-10-07",9502
"01349840","BATAVIA KILL NEAR MAPLECREST NY",42.28963889,-74.11627778,1999-02-02,2009-09-29,474,42.28963889,-74.11627778,"1997-10-01","2009-06-29",4290
"04213500","CATTARAUGUS CREEK AT GOWANDA NY",42.46344444,-78.9345278,1975-07-16,2023-05-15,467,42.46344444,-78.9345278,"1939-11-09","2023-10-06",30099
"01349150","CANAJOHARIE CREEK NEAR CANAJOHARIE NY",42.87627778,-74.6028611,1993-04-06,2023-07-25,462,42.87627778,-74.6028611,"1993-03-27","2023-10-06",11151
"01362342","HOLLOW TREE BROOK AT LANESVILLE NY",42.1422222,-74.265,1999-02-02,2011-08-30,448,42.1422222,-74.265,"1997-10-01","2023-10-06",9502
"01422738","WOLF CREEK AT MUNDALE NY",42.25944444,-75.0419444,1999-10-07,2009-09-30,436,42.25944444,-75.0419444,"1998-10-01","2009-06-29",3925
"04232047","IRONDEQUOIT CR @ LINDEN AVE., E ROCHESTER NY",43.1211111,-77.47638889,1980-08-30,1989-01-09,396,43.1211111,-77.47638889,"1973-07-26","1989-03-21",5718
"04264331","ST. LAWRENCE R AT CORNWALL ONT NR MASSENA NY",45.0061111,-74.795,1974-01-22,2023-06-21,354,45.0061111,-74.795,"1935-10-01","2023-04-30",31989
"04249000","OSWEGO RIVER AT LOCK 7, OSWEGO NY",43.45166667,-76.50527778,1974-09-26,2023-07-10,340,43.45166667,-76.50527778,"1900-10-01","2023-10-06",34400
"01362380","STONY CLOVE CREEK NEAR PHOENICIA NY",42.09814568,-74.31709199,1999-10-07,2007-09-10,315,42.09814568,-74.31709199,"1997-02-01","2007-08-06",3839
"04260500","BLACK RIVER AT WATERTOWN NY",43.9858333,-75.9246111,1970-10-08,2019-09-03,282,43.9858333,-75.9246111,"1920-07-18","2023-10-06",37701
"01335770","HUDSON RIVER AT WATERFORD NY",42.7886889,-73.6740069,1970-10-15,1996-05-13,271,42.7886889,-73.6740069,"1969-04-07","2003-09-30",652
"01362465","BEAVER KILL TRIBUTARY ABOVE LAKE HILL NY",42.08305556,-74.1830556,2001-02-27,2006-10-04,256,42.08305556,-74.1830556,"2000-07-27","2010-09-29",3717
"01305000","CARMANS RIVER AT YAPHANK NY",40.83016667,-72.90613889,1971-07-15,2022-09-08,248,40.83016667,-72.90613889,"1942-06-21","2023-10-06",29687
"04231600","GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER NY",43.1417222,-77.6163056,2011-04-05,2023-07-11,247,43.1417222,-77.6163056,"1904-04-01","2023-10-06",43055
"01527050","SWITZER CREEK NEAR COHOCTON NY",42.4911111,-77.4858333,1978-11-20,1980-09-27,244,42.4911111,-77.4858333,"1978-11-01","1980-09-29",699
"04269000","ST. REGIS RIVER AT BRASHER CENTER NY",44.8637222,-74.7786944,1974-10-15,2016-01-12,219,44.8637222,-74.7786944,"1910-08-22","2023-10-06",40511
"01357500","MOHAWK RIVER AT COHOES NY",42.78538889,-73.70777778,1978-10-26,2016-10-25,210,42.78538889,-73.70777778,"1917-12-01","2023-10-06",38661
"430403077311500","TRIB TO BARGE CN TRIB NR PITTSFORD NY",43.067563,-77.5205525,1980-07-02,1981-08-15,203,43.067563,-77.5205525,"1980-07-02","1981-08-15",243
"01304000","NISSEQUOGUE RIVER NEAR SMITHTOWN NY",40.84991667,-73.2242222,1971-10-08,2022-09-07,199,40.84991667,-73.2242222,"1943-10-01","2022-10-03",28492
"430428077261100","0423204541WHITE BK TRIB SOUTHGATE RD NR FAIRPORT",43.07450756,-77.43610398,1980-07-22,1981-08-15,193,43.07450756,-77.43610398,"1980-07-22","1981-08-15",263
"424129077495502","NY-TL2 ALFRED TILE EDGE OF FIELD, SONYEA",42.6913611,-77.83188889,2016-05-02,2022-04-28,186,42.6913611,-77.83188889,"2016-04-14","2022-06-07",2245
"424131077495802","NY-TL1 ALFRED TILE EDGE OF FIELD, SONYEA NY",42.6918333,-77.8324722,1980-01-01,2022-04-28,185,42.6918333,-77.8324722,"2016-04-15","2022-06-06",2244
"01362370","STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY",42.10202778,-74.31088889,2007-08-23,2011-08-30,177,42.10202778,-74.31088889,"1997-02-01","2023-10-06",9744
"01359560","HUDSON RIVER AT GLENMONT NY",42.59535778,-73.76151,1970-10-07,1991-07-31,176,42.59535778,-73.76151,"1974-10-07","1979-09-11",52
"01362198","ESOPUS CREEK AT SHANDAKEN NY",42.11647855,-74.38848279,1970-11-24,1992-08-04,169,42.11647855,-74.38848279,"1963-10-01","1988-09-29",9131
"01304500","PECONIC RIVER AT RIVERHEAD NY",40.91369444,-72.6869444,1971-11-12,2022-06-01,168,40.91369444,-72.6869444,"1942-06-21","2023-10-06",29693
"01354490","MOHAWK RIVER AT SCHENECTADY NY",42.81979865,-73.9492912,1970-10-07,1981-09-02,167,42.81979865,-73.9492912,"1974-10-07","1981-09-02",74
"01358000","HUDSON RIVER AT GREEN ISLAND NY",42.7522222,-73.68888889,1970-10-22,1994-08-17,166,42.7522222,-73.68888889,"1946-02-21","2023-10-06",27392
"04240150","SPAFFORD CREEK AT SAWMILL RD AT OTISCO VALLEY NY",42.8258333,-76.23527778,1981-09-22,2008-12-10,164,42.8258333,-76.23527778,"1981-11-01","1986-09-29",986
"424428077495401","NY-SW2 MERRIMAC FARMS EDGE OF FIELD, E GROVELAND",42.7409611,-77.8316667,2015-10-28,2022-03-19,162,42.7409611,-77.8316667,"2015-10-15","2022-05-25",2414
"04250750","SANDY CREEK NEAR ADAMS NY",43.81369444,-76.0744444,1978-01-24,2018-10-02,155,43.81369444,-76.0744444,"1957-08-22","2023-10-06",21513
"430649077285500","0423204630 IRONDEQUOIT CR TRIB AT E ROCHESTER NY",43.11367407,-77.4816623,1980-07-22,1981-08-11,155,43.11367407,-77.4816623,"1980-08-05","1981-08-11",112
"424421077495301","NY-SW1 MERRIMAC FARMS EDGE OF FIELD, E GROVELAND",42.7392861,-77.8312944,2015-10-28,2022-03-19,148,42.7392861,-77.8312944,"2015-10-15","2022-05-25",2414
"01354160","MOHAWK R  AT LOCK 10 AT CRANESVILLE NY",42.91813037,-74.1417957,1970-10-07,1979-08-27,147,42.91813037,-74.1417957,"1974-10-07","1979-08-27",50
"04219640","NIAGARA RIVER (LAKE ONTARIO) AT FORT NIAGARA NY",43.2694988,-79.064214,1973-05-08,1995-08-10,146,43.2694988,-79.064214,"1973-10-24","1995-08-10",154
"01357000","MOHAWK RIVER AT CRESCENT DAM NY",42.8061111,-73.72277778,1970-10-15,1978-08-23,144,42.8061111,-73.72277778,"1969-04-07","1978-08-23",128
"04219768","EIGHTEENMILE CREEK AT BURT NY",43.31380556,-78.7154167,2011-10-19,2023-07-13,138,43.31380556,-78.7154167,"2011-08-12","2023-10-06",4439
"01356190","LISHA KILL NORTHWEST OF NISKAYUNA NY",42.7836111,-73.8566667,1993-04-05,2016-08-01,135,42.7836111,-73.8566667,"1993-08-26","2010-09-30",6244
"01434086","DRY CREEK AT FLUME NEAR FROST VALLEY NY",41.9683333,-74.5125,1998-03-10,2004-01-12,133,41.9683333,-74.5125,"1992-10-01","1995-09-29",1094
"04232006","GENESEE R AT CHARLOTTE DOCKS AT ROCHESTER NY",43.2239508,-77.616113,1971-12-13,1994-08-11,131,43.2239508,-77.616113,"1970-10-16","1994-08-11",106
"01309500","MASSAPEQUA CREEK AT MASSAPEQUA NY",40.689,-73.45538889,1971-07-15,2001-04-18,128,40.689,-73.45538889,"1936-12-12","2023-10-06",28650
"01331095","HUDSON RIVER AT STILLWATER NY",42.93555556,-73.6516667,1970-10-15,1978-12-06,128,42.93555556,-73.6516667,"1977-03-01","2023-10-07",17022
"01310500","EAST MEADOW BROOK AT FREEPORT NY",40.66563889,-73.5700833,1971-07-15,2001-04-19,124,40.66563889,-73.5700833,"1937-01-01","2023-10-06",28686
"01413088","EAST BRANCH DELAWARE RIVER AT ROXBURY NY",42.29380556,-74.5591944,2006-10-10,2009-09-29,122,42.29380556,-74.5591944,"2000-06-07","2023-10-06",8522
"0422016550","OAK ORCHARD CREEK NEAR KENYONVILLE NY",43.301,-78.3104444,1990-03-20,2023-07-12,118,43.301,-78.3104444,"2012-08-18","2023-10-06",4067
"01303000","MILL NECK CREEK AT MILL NECK NY",40.88741667,-73.5631944,1971-07-15,1996-05-22,117,40.88741667,-73.5631944,"1937-01-15","2023-10-06",28704
"0424015305","RICE BROOK AT RICE GROVE NY",42.85194444,-76.25888889,1981-09-22,2008-09-11,115,42.85194444,-76.25888889,"1981-11-01","2008-09-29",1625
